"Metrics/step_episode","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Metrics/EpProgress","edqn_2024-12-11_13-29-49 - Metrics/EpProgress__MIN","edqn_2024-12-11_13-29-49 - Metrics/EpProgress__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress__MIN","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress__MAX"
"2983","","","","","","","","","","","","","","","","","","","3731","3731","3731","1","1","1","3731","3731","3731","1","1","1","","","","","",""
"2984","3776","3776","3776","0.8","0.8","0.8","3776","3776","3776","0.8","0.8","0.8","","","","","","","","","","","","","3732","3732","3732","1","1","1","3732","3732","3732","1","1","1"
"2985","","","","","","","3777","3777","3777","0","0","0","","","","","","","3733","3733","3733","1","1","1","3733","3733","3733","1","1","1","","","","","",""
"2986","3778","3778","3778","0","0","0","","","","","","","6394","6394","6394","1","1","1","","","","","","","","","","","","","","","","","",""
"2987","","","","","","","3779","3779","3779","1","1","1","","","","","","","","","","","","","3737","3737","3737","1","1","1","3737","3737","3737","1","1","1"
"2988","","","","","","","","","","","","","","","","","","","3738","3738","3738","1","1","1","","","","","","","3738","3738","3738","1","1","1"
"2989","3781","3781","3781","0","0","0","","","","","","","6401","6401","6401","1","1","1","","","","","","","","","","","","","3739","3739","3739","1","1","1"
"2990","3782","3782","3782","0","0","0","3782","3782","3782","0","0","0","","","","","","","","","","","","","3740","3740","3740","1","1","1","3740","3740","3740","1","1","1"
"2991","3783","3783","3783","1","1","1","3783","3783","3783","1","1","1","6407","6407","6407","0","0","0","3743","3743","3743","1","1","1","3743","3743","3743","1","1","1","","","","","",""
"2993","","","","","","","","","","","","","","","","","","","3745","3745","3745","1","1","1","","","","","","","","","","","",""
"2994","","","","","","","3786","3786","3786","0","0","0","","","","","","","3746","3746","3746","1","1","1","","","","","","","3746","3746","3746","1","1","1"
"2995","","","","","","","3787","3787","3787","1","1","1","","","","","","","","","","","","","","","","","","","3747","3747","3747","1","1","1"
"2996","3790","3790","3790","1","1","1","3790","3790","3790","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"2997","3791","3791","3791","1","1","1","","","","","","","","","","","","","3751","3751","3751","1","1","1","3751","3751","3751","1","1","1","3751","3751","3751","1","1","1"
"2998","3792","3792","3792","1","1","1","3792","3792","3792","1","1","1","","","","","","","","","","","","","3752","3752","3752","1","1","1","","","","","",""
"2999","3793","3793","3793","1","1","1","3793","3793","3793","1","1","1","","","","","","","3753","3753","3753","1","1","1","","","","","","","3753","3753","3753","1","1","1"
"3000","","","","","","","3794","3794","3794","1","1","1","","","","","","","3754","3754","3754","1","1","1","","","","","","","","","","","",""
"3001","","","","","","","","","","","","","6427","6427","6427","1","1","1","3757","3757","3757","1","1","1","","","","","","","","","","","",""
"3002","","","","","","","3798","3798","3798","1","1","1","","","","","","","","","","","","","","","","","","","3758","3758","3758","1","1","1"
"3003","","","","","","","","","","","","","","","","","","","","","","","","","3759","3759","3759","1","1","1","","","","","",""
"3004","3800","3800","3800","1","1","1","","","","","","","","","","","","","3760","3760","3760","1","1","1","","","","","","","3760","3760","3760","1","1","1"
"3005","","","","","","","","","","","","","6435","6435","6435","1","1","1","","","","","","","","","","","","","","","","","",""
"3006","3804","3804","3804","1","1","1","","","","","","","6438","6438","6438","0.8","0.8","0.8","","","","","","","","","","","","","","","","","",""
"3007","3805","3805","3805","1","1","1","","","","","","","6439","6439","6439","0.8","0.8","0.8","","","","","","","","","","","","","","","","","",""
"3008","3806","3806","3806","1","1","1","3806","3806","3806","1","1","1","","","","","","","3766","3766","3766","0","0","0","3766","3766","3766","0","0","0","","","","","",""
"3009","3807","3807","3807","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3768","3768","3768","0","0","0"
"3011","3811","3811","3811","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3012","3812","3812","3812","1","1","1","","","","","","","","","","","","","3770","3770","3770","0","0","0","3770","3770","3770","0","0","0","3770","3770","3770","0","0","0"
"3013","","","","","","","3813","3813","3813","1","1","1","","","","","","","3771","3771","3771","1","1","1","3771","3771","3771","1","1","1","","","","","",""
"3014","3814","3814","3814","1","1","1","3814","3814","3814","1","1","1","","","","","","","","","","","","","","","","","","","3772","3772","3772","0","0","0"
"3015","3815","3815","3815","1","1","1","3815","3815","3815","1","1","1","","","","","","","3773","3773","3773","1","1","1","3773","3773","3773","1","1","1","","","","","",""
"3016","","","","","","","","","","","","","6460","6460","6460","1","1","1","","","","","","","","","","","","","","","","","",""
"3017","3819","3819","3819","1","1","1","","","","","","","","","","","","","3777","3777","3777","1","1","1","3777","3777","3777","1","1","1","3777","3777","3777","1","1","1"
"3018","","","","","","","","","","","","","6464","6464","6464","1","1","1","","","","","","","","","","","","","","","","","",""
"3019","","","","","","","3821","3821","3821","1","1","1","6467","6467","6467","1","1","1","","","","","","","","","","","","","3779","3779","3779","1","1","1"
"3020","","","","","","","","","","","","","6470","6470","6470","1","1","1","","","","","","","","","","","","","3780","3780","3780","1","1","1"
"3021","","","","","","","","","","","","","","","","","","","3783","3783","3783","1","1","1","3783","3783","3783","1","1","1","","","","","",""
"3022","3826","3826","3826","1","1","1","","","","","","","6474","6474","6474","1","1","1","","","","","","","3784","3784","3784","1","1","1","3784","3784","3784","1","1","1"
"3023","","","","","","","","","","","","","","","","","","","3785","3785","3785","1","1","1","","","","","","","","","","","",""
"3024","3828","3828","3828","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3025","","","","","","","3829","3829","3829","1","1","1","","","","","","","3787","3787","3787","1","1","1","","","","","","","","","","","",""
"3026","3832","3832","3832","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3027","3833","3833","3833","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3028","","","","","","","","","","","","","6492","6492","6492","1","1","1","","","","","","","3792","3792","3792","0","0","0","","","","","",""
"3029","3835","3835","3835","1","1","1","","","","","","","6495","6495","6495","1","1","1","","","","","","","","","","","","","3793","3793","3793","1","1","1"
"3030","3836","3836","3836","1","1","1","3836","3836","3836","1","1","1","","","","","","","","","","","","","","","","","","","3794","3794","3794","0","0","0"
"3031","","","","","","","3839","3839","3839","1","1","1","6501","6501","6501","0","0","0","","","","","","","","","","","","","","","","","",""
"3032","","","","","","","","","","","","","","","","","","","3796","3796","3796","0","0","0","","","","","","","","","","","",""
"3033","","","","","","","","","","","","","","","","","","","","","","","","","3797","3797","3797","1","1","1","","","","","",""
"3034","","","","","","","","","","","","","6508","6508","6508","1","1","1","3798","3798","3798","0","0","0","","","","","","","3798","3798","3798","0","0","0"
"3035","3843","3843","3843","1","1","1","","","","","","","6511","6511","6511","0.8","0.8","0.8","","","","","","","3799","3799","3799","1","1","1","","","","","",""
"3036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3802","3802","3802","1","1","1"
"3037","","","","","","","3847","3847","3847","1","1","1","6515","6515","6515","1","1","1","3803","3803","3803","1","1","1","3803","3803","3803","1","1","1","","","","","",""
"3038","3848","3848","3848","1","1","1","","","","","","","6518","6518","6518","1","1","1","","","","","","","3804","3804","3804","1","1","1","","","","","",""
"3039","","","","","","","","","","","","","6521","6521","6521","0","0","0","","","","","","","","","","","","","","","","","",""
"3040","","","","","","","3850","3850","3850","1","1","1","6522","6522","6522","1","1","1","","","","","","","","","","","","","","","","","",""
"3041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3809","3809","3809","1","1","1"
"3042","","","","","","","3854","3854","3854","1","1","1","","","","","","","","","","","","","","","","","","","3810","3810","3810","1","1","1"
"3043","3855","3855","3855","0","0","0","3855","3855","3855","0","0","0","","","","","","","3811","3811","3811","1","1","1","3811","3811","3811","1","1","1","","","","","",""
"3044","","","","","","","","","","","","","","","","","","","","","","","","","3812","3812","3812","1","1","1","","","","","",""
"3045","","","","","","","3857","3857","3857","0","0","0","6533","6533","6533","1","1","1","","","","","","","","","","","","","3813","3813","3813","1","1","1"
"3046","3858","3858","3858","1","1","1","3858","3858","3858","1","1","1","6536","6536","6536","1","1","1","3816","3816","3816","0","0","0","","","","","","","3816","3816","3816","0","0","0"
"3047","3859","3859","3859","0","0","0","3859","3859","3859","0","0","0","","","","","","","3817","3817","3817","1","1","1","3817","3817","3817","1","1","1","","","","","",""
"3048","3860","3860","3860","1","1","1","3860","3860","3860","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3049","3861","3861","3861","0","0","0","","","","","","","6543","6543","6543","1","1","1","3819","3819","3819","1","1","1","","","","","","","","","","","",""
"3050","3862","3862","3862","1","1","1","","","","","","","6546","6546","6546","1","1","1","","","","","","","","","","","","","","","","","",""
"3051","","","","","","","3865","3865","3865","1","1","1","6549","6549","6549","1","1","1","3821","3821","3821","1","1","1","","","","","","","","","","","",""
"3052","","","","","","","","","","","","","6552","6552","6552","0","0","0","3822","3822","3822","0","0","0","","","","","","","","","","","",""
"3053","3867","3867","3867","1","1","1","","","","","","","6553","6553","6553","1","1","1","3823","3823","3823","1","1","1","3823","3823","3823","1","1","1","","","","","",""
"3054","","","","","","","","","","","","","","","","","","","","","","","","","3824","3824","3824","0","0","0","","","","","",""
"3055","","","","","","","","","","","","","6559","6559","6559","1","1","1","","","","","","","3825","3825","3825","1","1","1","3825","3825","3825","1","1","1"
"3056","3872","3872","3872","1","1","1","","","","","","","","","","","","","3828","3828","3828","1","1","1","","","","","","","","","","","",""
"3057","","","","","","","","","","","","","6565","6565","6565","1","1","1","","","","","","","3829","3829","3829","1","1","1","","","","","",""
"3058","3874","3874","3874","1","1","1","3874","3874","3874","1","1","1","","","","","","","","","","","","","3830","3830","3830","1","1","1","","","","","",""
"3059","","","","","","","3875","3875","3875","1","1","1","","","","","","","","","","","","","3831","3831","3831","1","1","1","","","","","",""
"3060","","","","","","","","","","","","","6572","6572","6572","1","1","1","","","","","","","","","","","","","3832","3832","3832","1","1","1"
"3062","","","","","","","3880","3880","3880","1","1","1","6578","6578","6578","1","1","1","3836","3836","3836","1","1","1","3836","3836","3836","1","1","1","","","","","",""
"3063","3881","3881","3881","0","0","0","3881","3881","3881","0","0","0","6581","6581","6581","0","0","0","","","","","","","3837","3837","3837","1","1","1","3837","3837","3837","1","1","1"
"3064","","","","","","","3882","3882","3882","1","1","1","6582","6582","6582","1","1","1","","","","","","","","","","","","","","","","","",""
"3065","","","","","","","","","","","","","","","","","","","3839","3839","3839","1","1","1","3839","3839","3839","1","1","1","","","","","",""
"3066","","","","","","","","","","","","","","","","","","","3842","3842","3842","0","0","0","3842","3842","3842","0","0","0","","","","","",""
"3067","3885","3885","3885","0","0","0","","","","","","","6591","6591","6591","0","0","0","3843","3843","3843","1","1","1","","","","","","","","","","","",""
"3069","3887","3887","3887","0","0","0","","","","","","","","","","","","","","","","","","","3845","3845","3845","1","1","1","","","","","",""
"3070","3888","3888","3888","1","1","1","","","","","","","6598","6598","6598","1","1","1","3846","3846","3846","0","0","0","","","","","","","","","","","",""
"3071","3891","3891","3891","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3073","","","","","","","3893","3893","3893","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3074","","","","","","","3894","3894","3894","1","1","1","6608","6608","6608","1","1","1","","","","","","","3850","3850","3850","0","0","0","","","","","",""
"3075","","","","","","","","","","","","","","","","","","","3851","3851","3851","1","1","1","","","","","","","","","","","",""
"3076","3898","3898","3898","1","1","1","3898","3898","3898","1","1","1","6612","6612","6612","1","1","1","3854","3854","3854","1","1","1","","","","","","","","","","","",""
"3077","","","","","","","","","","","","","","","","","","","3855","3855","3855","1","1","1","","","","","","","3855","3855","3855","1","1","1"
"3078","","","","","","","3900","3900","3900","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3079","","","","","","","3901","3901","3901","1","1","1","6619","6619","6619","1","1","1","3857","3857","3857","1","1","1","3857","3857","3857","1","1","1","","","","","",""
"3081","3905","3905","3905","0","0","0","","","","","","","6623","6623","6623","1","1","1","3861","3861","3861","1","1","1","","","","","","","3861","3861","3861","1","1","1"
"3082","","","","","","","3906","3906","3906","1","1","1","6626","6626","6626","1","1","1","","","","","","","","","","","","","","","","","",""
"3083","3907","3907","3907","0","0","0","","","","","","","6629","6629","6629","1","1","1","3863","3863","3863","1","1","1","","","","","","","","","","","",""
"3084","","","","","","","3908","3908","3908","1","1","1","6632","6632","6632","0.8","0.8","0.8","3864","3864","3864","1","1","1","3864","3864","3864","1","1","1","","","","","",""
"3085","3909","3909","3909","0","0","0","","","","","","","","","","","","","","","","","","","3865","3865","3865","1","1","1","","","","","",""
"3086","","","","","","","","","","","","","","","","","","","3868","3868","3868","0","0","0","3868","3868","3868","0","0","0","","","","","",""
"3087","3911","3911","3911","0","0","0","","","","","","","","","","","","","3869","3869","3869","0.8","0.8","0.8","3869","3869","3869","0.8","0.8","0.8","3869","3869","3869","0.8","0.8","0.8"
"3088","3912","3912","3912","1","1","1","","","","","","","6642","6642","6642","1","1","1","3870","3870","3870","1","1","1","3870","3870","3870","1","1","1","","","","","",""
"3089","3913","3913","3913","0","0","0","","","","","","","6645","6645","6645","1","1","1","3871","3871","3871","0","0","0","3871","3871","3871","0","0","0","","","","","",""
"3090","","","","","","","","","","","","","6648","6648","6648","0.8","0.8","0.8","","","","","","","3872","3872","3872","0.8","0.8","0.8","3872","3872","3872","0.8","0.8","0.8"
"3091","3917","3917","3917","1","1","1","3917","3917","3917","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3874","3874","3874","0","0","0"
"3093","3919","3919","3919","1","1","1","3919","3919","3919","1","1","1","","","","","","","3875","3875","3875","0.8","0.8","0.8","3875","3875","3875","0.8","0.8","0.8","3875","3875","3875","0.8","0.8","0.8"
"3094","","","","","","","3920","3920","3920","1","1","1","","","","","","","3876","3876","3876","1","1","1","3876","3876","3876","1","1","1","","","","","",""
"3095","","","","","","","","","","","","","6655","6655","6655","1","1","1","","","","","","","","","","","","","3877","3877","3877","0","0","0"
"3096","","","","","","","3924","3924","3924","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3097","3925","3925","3925","1","1","1","","","","","","","6659","6659","6659","1","1","1","","","","","","","3879","3879","3879","1","1","1","","","","","",""
"3098","3926","3926","3926","1","1","1","3926","3926","3926","1","1","1","","","","","","","3880","3880","3880","0","0","0","3880","3880","3880","0","0","0","3880","3880","3880","0","0","0"
"3099","3927","3927","3927","1","1","1","","","","","","","","","","","","","","","","","","","3881","3881","3881","0.8","0.8","0.8","","","","","",""
"3100","","","","","","","","","","","","","6666","6666","6666","1","1","1","3882","3882","3882","1","1","1","","","","","","","3882","3882","3882","1","1","1"
"3101","","","","","","","3931","3931","3931","0","0","0","6669","6669","6669","1","1","1","3885","3885","3885","1","1","1","","","","","","","","","","","",""
"3102","","","","","","","","","","","","","","","","","","","3886","3886","3886","1","1","1","3886","3886","3886","1","1","1","","","","","",""
"3103","3933","3933","3933","0","0","0","","","","","","","6675","6675","6675","0","0","0","","","","","","","","","","","","","","","","","",""
"3104","3934","3934","3934","1","1","1","","","","","","","6676","6676","6676","1","1","1","","","","","","","3888","3888","3888","1","1","1","3888","3888","3888","1","1","1"
"3105","","","","","","","","","","","","","6679","6679","6679","1","1","1","3889","3889","3889","1","1","1","3889","3889","3889","1","1","1","3889","3889","3889","1","1","1"
"3106","3936","3936","3936","1","1","1","3936","3936","3936","1","1","1","6682","6682","6682","0.8","0.8","0.8","","","","","","","","","","","","","3892","3892","3892","1","1","1"
"3107","","","","","","","3937","3937","3937","0","0","0","6683","6683","6683","0","0","0","3893","3893","3893","1","1","1","","","","","","","","","","","",""
"3108","3938","3938","3938","1","1","1","3938","3938","3938","1","1","1","6684","6684","6684","0","0","0","","","","","","","3894","3894","3894","1","1","1","3894","3894","3894","1","1","1"
"3109","","","","","","","3939","3939","3939","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"3110","","","","","","","","","","","","","","","","","","","","","","","","","3896","3896","3896","1","1","1","3896","3896","3896","1","1","1"
"3111","","","","","","","","","","","","","","","","","","","3899","3899","3899","0","0","0","","","","","","","3899","3899","3899","0","0","0"
"3112","","","","","","","","","","","","","6688","6688","6688","1","1","1","3900","3900","3900","1","1","1","","","","","","","3900","3900","3900","1","1","1"
"3113","","","","","","","3945","3945","3945","1","1","1","","","","","","","","","","","","","3901","3901","3901","0","0","0","","","","","",""
"3114","","","","","","","3946","3946","3946","1","1","1","6692","6692","6692","1","1","1","","","","","","","","","","","","","","","","","",""
"3115","3947","3947","3947","1","1","1","","","","","","","","","","","","","","","","","","","3903","3903","3903","0","0","0","3903","3903","3903","0","0","0"
"3116","","","","","","","3950","3950","3950","1","1","1","6698","6698","6698","1","1","1","","","","","","","","","","","","","","","","","",""
"3117","","","","","","","","","","","","","","","","","","","","","","","","","3905","3905","3905","0","0","0","3905","3905","3905","0","0","0"
"3118","3952","3952","3952","1","1","1","","","","","","","","","","","","","3906","3906","3906","1","1","1","","","","","","","3906","3906","3906","1","1","1"
"3119","","","","","","","","","","","","","","","","","","","","","","","","","3907","3907","3907","0","0","0","","","","","",""
"3120","3954","3954","3954","1","1","1","3954","3954","3954","1","1","1","","","","","","","3908","3908","3908","1","1","1","","","","","","","3908","3908","3908","1","1","1"
"3121","3957","3957","3957","1","1","1","3957","3957","3957","1","1","1","","","","","","","3911","3911","3911","1","1","1","","","","","","","3911","3911","3911","1","1","1"
"3122","3958","3958","3958","1","1","1","3958","3958","3958","1","1","1","","","","","","","3912","3912","3912","1","1","1","","","","","","","3912","3912","3912","1","1","1"
"3123","3959","3959","3959","1","1","1","3959","3959","3959","1","1","1","","","","","","","3913","3913","3913","1","1","1","","","","","","","3913","3913","3913","1","1","1"
"3124","3960","3960","3960","1","1","1","3960","3960","3960","1","1","1","","","","","","","3914","3914","3914","1","1","1","","","","","","","3914","3914","3914","1","1","1"
"3125","","","","","","","3961","3961","3961","1","1","1","6719","6719","6719","0","0","0","","","","","","","3915","3915","3915","1","1","1","","","","","",""
"3126","","","","","","","3964","3964","3964","1","1","1","","","","","","","","","","","","","","","","","","","3918","3918","3918","1","1","1"
"3127","","","","","","","","","","","","","","","","","","","","","","","","","3919","3919","3919","1","1","1","","","","","",""
"3129","","","","","","","","","","","","","6723","6723","6723","1","1","1","3921","3921","3921","1","1","1","","","","","","","3921","3921","3921","1","1","1"
"3130","","","","","","","3968","3968","3968","1","1","1","","","","","","","3922","3922","3922","1","1","1","","","","","","","3922","3922","3922","1","1","1"
"3131","3971","3971","3971","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3132","3972","3972","3972","1","1","1","3972","3972","3972","1","1","1","6730","6730","6730","1","1","1","","","","","","","3926","3926","3926","1","1","1","3926","3926","3926","1","1","1"
"3133","","","","","","","3973","3973","3973","1","1","1","6733","6733","6733","1","1","1","3927","3927","3927","0","0","0","","","","","","","","","","","",""
"3134","","","","","","","3974","3974","3974","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3135","3975","3975","3975","1","1","1","","","","","","","","","","","","","3929","3929","3929","0","0","0","","","","","","","3929","3929","3929","0","0","0"
"3136","","","","","","","","","","","","","6740","6740","6740","0.8","0.8","0.8","","","","","","","3930","3930","3930","1","1","1","3930","3930","3930","1","1","1"
"3137","","","","","","","","","","","","","","","","","","","3931","3931","3931","0","0","0","","","","","","","3931","3931","3931","0","0","0"
"3138","","","","","","","","","","","","","","","","","","","3932","3932","3932","1","1","1","3932","3932","3932","1","1","1","3932","3932","3932","1","1","1"
"3139","","","","","","","3981","3981","3981","1","1","1","","","","","","","","","","","","","","","","","","","3933","3933","3933","0","0","0"
"3140","","","","","","","","","","","","","","","","","","","3934","3934","3934","1","1","1","","","","","","","","","","","",""
"3141","3983","3983","3983","1","1","1","","","","","","","6751","6751","6751","1","1","1","","","","","","","3937","3937","3937","1","1","1","3937","3937","3937","1","1","1"
"3142","","","","","","","","","","","","","6754","6754","6754","1","1","1","","","","","","","","","","","","","","","","","",""
"3143","","","","","","","","","","","","","","","","","","","3939","3939","3939","1","1","1","","","","","","","3939","3939","3939","1","1","1"
"3144","","","","","","","3986","3986","3986","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"3145","","","","","","","3987","3987","3987","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3146","","","","","","","","","","","","","","","","","","","3944","3944","3944","1","1","1","","","","","","","","","","","",""
"3147","3991","3991","3991","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","3945","3945","3945","1","1","1"
"3148","3992","3992","3992","1","1","1","3992","3992","3992","1","1","1","","","","","","","","","","","","","3946","3946","3946","1","1","1","3946","3946","3946","1","1","1"
"3149","","","","","","","3993","3993","3993","1","1","1","","","","","","","3947","3947","3947","1","1","1","","","","","","","3947","3947","3947","1","1","1"
"3150","","","","","","","","","","","","","","","","","","","3948","3948","3948","1","1","1","","","","","","","","","","","",""
"3151","3997","3997","3997","1","1","1","3997","3997","3997","1","1","1","6777","6777","6777","1","1","1","","","","","","","3951","3951","3951","0","0","0","","","","","",""
"3152","","","","","","","","","","","","","6780","6780","6780","1","1","1","3952","3952","3952","1","1","1","","","","","","","","","","","",""
"3153","","","","","","","3999","3999","3999","1","1","1","6783","6783","6783","1","1","1","","","","","","","3953","3953","3953","0","0","0","","","","","",""
"3154","4000","4000","4000","1","1","1","4000","4000","4000","1","1","1","6786","6786","6786","0","0","0","","","","","","","3954","3954","3954","1","1","1","","","","","",""
"3155","","","","","","","4001","4001","4001","1","1","1","6787","6787","6787","1","1","1","","","","","","","","","","","","","","","","","",""
"3156","4004","4004","4004","0","0","0","4004","4004","4004","0","0","0","6790","6790","6790","1","1","1","3956","3956","3956","1","1","1","","","","","","","3956","3956","3956","1","1","1"
"3157","4005","4005","4005","1","1","1","","","","","","","6793","6793","6793","1","1","1","3957","3957","3957","0","0","0","","","","","","","","","","","",""
"3158","","","","","","","","","","","","","","","","","","","3958","3958","3958","1","1","1","","","","","","","","","","","",""
"3159","","","","","","","","","","","","","6797","6797","6797","1","1","1","3959","3959","3959","0","0","0","","","","","","","","","","","",""
"3160","4008","4008","4008","0","0","0","4008","4008","4008","0","0","0","6800","6800","6800","1","1","1","3960","3960","3960","1","1","1","","","","","","","","","","","",""
"3161","","","","","","","","","","","","","6803","6803","6803","1","1","1","","","","","","","","","","","","","3963","3963","3963","1","1","1"
"3162","","","","","","","4010","4010","4010","0","0","0","","","","","","","","","","","","","3964","3964","3964","1","1","1","","","","","",""
"3163","","","","","","","4011","4011","4011","1","1","1","","","","","","","","","","","","","","","","","","","3965","3965","3965","1","1","1"
"3164","4012","4012","4012","0","0","0","","","","","","","6810","6810","6810","1","1","1","","","","","","","","","","","","","3966","3966","3966","1","1","1"
"3165","4013","4013","4013","1","1","1","4013","4013","4013","1","1","1","","","","","","","3967","3967","3967","1","1","1","3967","3967","3967","1","1","1","3967","3967","3967","1","1","1"
"3166","4016","4016","4016","1","1","1","","","","","","","6816","6816","6816","0","0","0","","","","","","","3970","3970","3970","1","1","1","3970","3970","3970","1","1","1"
"3167","","","","","","","4017","4017","4017","1","1","1","","","","","","","3971","3971","3971","1","1","1","","","","","","","","","","","",""
"3168","","","","","","","4018","4018","4018","1","1","1","","","","","","","3972","3972","3972","1","1","1","3972","3972","3972","1","1","1","","","","","",""
"3169","","","","","","","4019","4019","4019","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3170","4020","4020","4020","1","1","1","4020","4020","4020","1","1","1","","","","","","","3974","3974","3974","1","1","1","","","","","","","3974","3974","3974","1","1","1"
"3171","4023","4023","4023","1","1","1","4023","4023","4023","1","1","1","","","","","","","3977","3977","3977","0","0","0","","","","","","","","","","","",""
"3172","4024","4024","4024","1","1","1","","","","","","","","","","","","","3978","3978","3978","1","1","1","3978","3978","3978","1","1","1","","","","","",""
"3173","","","","","","","4025","4025","4025","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"3174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3980","3980","3980","1","1","1"
"3175","","","","","","","4027","4027","4027","1","1","1","6837","6837","6837","1","1","1","","","","","","","","","","","","","","","","","",""
"3176","4030","4030","4030","0","0","0","","","","","","","6840","6840","6840","1","1","1","3982","3982","3982","1","1","1","","","","","","","","","","","",""
"3177","4031","4031","4031","1","1","1","","","","","","","","","","","","","","","","","","","3983","3983","3983","0","0","0","3983","3983","3983","0","0","0"
"3178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3984","3984","3984","1","1","1"
"3179","4033","4033","4033","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","3985","3985","3985","0","0","0"
"3180","","","","","","","4034","4034","4034","0","0","0","","","","","","","","","","","","","3986","3986","3986","1","1","1","3986","3986","3986","1","1","1"
"3181","4035","4035","4035","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3182","","","","","","","4036","4036","4036","0","0","0","","","","","","","","","","","","","3990","3990","3990","1","1","1","","","","","",""
"3183","4037","4037","4037","1","1","1","","","","","","","","","","","","","","","","","","","3991","3991","3991","1","1","1","","","","","",""
