"Evaluate/step_episode","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MAX","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress__MAX","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress__MIN","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress__MIN","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress__MAX"
"187","9425","9425","9425","1","1","1","9131","9131","9131","1","1","1","9181","9181","9181","1","1","1","16953","16953","16953","1","1","1","9504","9504","9504","1","1","1","9486","9486","9486","1","1","1","9512","9512","9512","1","1","1"
"188","9427","9427","9427","1","1","1","9133","9133","9133","1","1","1","9183","9183","9183","1","1","1","16955","16955","16955","1","1","1","9506","9506","9506","1","1","1","9488","9488","9488","1","1","1","9514","9514","9514","1","1","1"
"189","9591","9591","9591","0.8","0.8","0.8","9300","9300","9300","0.8","0.8","0.8","9343","9343","9343","0.8","0.8","0.8","17273","17273","17273","1","1","1","9666","9666","9666","0.8","0.8","0.8","9646","9646","9646","1","1","1","9685","9685","9685","0.8","0.8","0.8"
"190","9593","9593","9593","1","1","1","9302","9302","9302","1","1","1","9345","9345","9345","1","1","1","17275","17275","17275","1","1","1","9668","9668","9668","1","1","1","9648","9648","9648","1","1","1","9687","9687","9687","1","1","1"
"191","9595","9595","9595","1","1","1","9304","9304","9304","1","1","1","9347","9347","9347","1","1","1","17277","17277","17277","0.8","0.8","0.8","9670","9670","9670","1","1","1","9650","9650","9650","1","1","1","9689","9689","9689","1","1","1"
"192","9597","9597","9597","1","1","1","9306","9306","9306","1","1","1","9349","9349","9349","1","1","1","17279","17279","17279","1","1","1","9672","9672","9672","1","1","1","9652","9652","9652","1","1","1","9691","9691","9691","1","1","1"
"193","9599","9599","9599","1","1","1","9308","9308","9308","1","1","1","9351","9351","9351","1","1","1","17281","17281","17281","1","1","1","9674","9674","9674","1","1","1","9654","9654","9654","1","1","1","9693","9693","9693","1","1","1"
"194","9601","9601","9601","1","1","1","9310","9310","9310","1","1","1","9353","9353","9353","1","1","1","17283","17283","17283","0.8","0.8","0.8","9676","9676","9676","1","1","1","9656","9656","9656","1","1","1","9695","9695","9695","1","1","1"
"195","9603","9603","9603","1","1","1","9312","9312","9312","1","1","1","9355","9355","9355","1","1","1","17285","17285","17285","1","1","1","9678","9678","9678","1","1","1","9658","9658","9658","1","1","1","9697","9697","9697","1","1","1"
"196","9605","9605","9605","1","1","1","9314","9314","9314","1","1","1","9357","9357","9357","1","1","1","17287","17287","17287","1","1","1","9680","9680","9680","1","1","1","9660","9660","9660","1","1","1","9699","9699","9699","1","1","1"
"197","9607","9607","9607","1","1","1","9316","9316","9316","1","1","1","9359","9359","9359","1","1","1","17289","17289","17289","1","1","1","9682","9682","9682","0.9","0.9","0.9","9662","9662","9662","1","1","1","9701","9701","9701","1","1","1"
"198","9765","9765","9765","0.8","0.8","0.8","9476","9476","9476","1","1","1","9520","9520","9520","0.8","0.8","0.8","17605","17605","17605","1","1","1","9843","9843","9843","1","1","1","9822","9822","9822","0.8","0.8","0.8","9863","9863","9863","1","1","1"
"199","9767","9767","9767","1","1","1","9478","9478","9478","1","1","1","9522","9522","9522","1","1","1","17607","17607","17607","1","1","1","9845","9845","9845","1","1","1","9824","9824","9824","1","1","1","9865","9865","9865","1","1","1"
"200","9769","9769","9769","0.8","0.8","0.8","9480","9480","9480","0.8","0.8","0.8","9524","9524","9524","1","1","1","17609","17609","17609","1","1","1","9847","9847","9847","1","1","1","9826","9826","9826","1","1","1","9867","9867","9867","1","1","1"
"201","9771","9771","9771","1","1","1","9482","9482","9482","1","1","1","9526","9526","9526","1","1","1","17611","17611","17611","1","1","1","9849","9849","9849","1","1","1","9828","9828","9828","1","1","1","9869","9869","9869","1","1","1"
"202","9773","9773","9773","1","1","1","9484","9484","9484","1","1","1","9528","9528","9528","1","1","1","17613","17613","17613","1","1","1","9851","9851","9851","1","1","1","9830","9830","9830","1","1","1","9871","9871","9871","1","1","1"
"203","9775","9775","9775","1","1","1","9486","9486","9486","1","1","1","9530","9530","9530","1","1","1","17615","17615","17615","1","1","1","9853","9853","9853","1","1","1","9832","9832","9832","1","1","1","9873","9873","9873","1","1","1"
"204","9777","9777","9777","1","1","1","9488","9488","9488","1","1","1","9532","9532","9532","1","1","1","17617","17617","17617","1","1","1","9855","9855","9855","1","1","1","9834","9834","9834","1","1","1","9875","9875","9875","1","1","1"
"205","9779","9779","9779","1","1","1","9490","9490","9490","1","1","1","9534","9534","9534","1","1","1","17619","17619","17619","1","1","1","9857","9857","9857","1","1","1","9836","9836","9836","0.8","0.8","0.8","9877","9877","9877","1","1","1"
"206","9781","9781","9781","1","1","1","9492","9492","9492","1","1","1","9536","9536","9536","1","1","1","17621","17621","17621","1","1","1","9859","9859","9859","1","1","1","9838","9838","9838","1","1","1","9879","9879","9879","1","1","1"
"207","9944","9944","9944","1","1","1","9653","9653","9653","0.8","0.8","0.8","9704","9704","9704","0.8","0.8","0.8","17938","17938","17938","0.8","0.8","0.8","10016","10016","10016","0.8","0.8","0.8","9998","9998","9998","1","1","1","10043","10043","10043","0.8","0.8","0.8"
"208","9946","9946","9946","1","1","1","9655","9655","9655","1","1","1","9706","9706","9706","1","1","1","17940","17940","17940","1","1","1","10018","10018","10018","1","1","1","10000","10000","10000","1","1","1","10045","10045","10045","1","1","1"
"209","9948","9948","9948","1","1","1","9657","9657","9657","1","1","1","9708","9708","9708","1","1","1","17942","17942","17942","1","1","1","10020","10020","10020","1","1","1","10002","10002","10002","1","1","1","10047","10047","10047","1","1","1"
"210","9950","9950","9950","1","1","1","9659","9659","9659","1","1","1","9710","9710","9710","1","1","1","17944","17944","17944","1","1","1","10022","10022","10022","1","1","1","10004","10004","10004","1","1","1","10049","10049","10049","1","1","1"
"211","9952","9952","9952","1","1","1","9661","9661","9661","1","1","1","9712","9712","9712","1","1","1","17946","17946","17946","1","1","1","10024","10024","10024","1","1","1","10006","10006","10006","1","1","1","10051","10051","10051","1","1","1"
"212","9954","9954","9954","1","1","1","9663","9663","9663","1","1","1","9714","9714","9714","1","1","1","17948","17948","17948","1","1","1","10026","10026","10026","1","1","1","10008","10008","10008","1","1","1","10053","10053","10053","1","1","1"
"213","9956","9956","9956","1","1","1","9665","9665","9665","1","1","1","9716","9716","9716","1","1","1","17950","17950","17950","1","1","1","10028","10028","10028","1","1","1","10010","10010","10010","1","1","1","10055","10055","10055","1","1","1"
"214","9958","9958","9958","1","1","1","9667","9667","9667","1","1","1","9718","9718","9718","1","1","1","17952","17952","17952","1","1","1","10030","10030","10030","1","1","1","10012","10012","10012","1","1","1","10057","10057","10057","1","1","1"
"215","9960","9960","9960","1","1","1","9669","9669","9669","1","1","1","9720","9720","9720","1","1","1","17954","17954","17954","1","1","1","10032","10032","10032","1","1","1","10014","10014","10014","1","1","1","10059","10059","10059","1","1","1"
"216","10125","10125","10125","0.8","0.8","0.8","9829","9829","9829","0.8","0.8","0.8","9884","9884","9884","0.8","0.8","0.8","18271","18271","18271","1","1","1","10193","10193","10193","1","1","1","10174","10174","10174","1","1","1","10223","10223","10223","0.8","0.8","0.8"
"217","10127","10127","10127","1","1","1","9831","9831","9831","1","1","1","9886","9886","9886","1","1","1","18273","18273","18273","1","1","1","10195","10195","10195","1","1","1","10176","10176","10176","1","1","1","10225","10225","10225","1","1","1"
"218","10129","10129","10129","1","1","1","9833","9833","9833","1","1","1","9888","9888","9888","1","1","1","18275","18275","18275","1","1","1","10197","10197","10197","1","1","1","10178","10178","10178","1","1","1","10227","10227","10227","0.8","0.8","0.8"
"219","10131","10131","10131","1","1","1","9835","9835","9835","1","1","1","9890","9890","9890","0.8","0.8","0.8","18277","18277","18277","0.8","0.8","0.8","10199","10199","10199","1","1","1","10180","10180","10180","1","1","1","10229","10229","10229","1","1","1"
"220","10133","10133","10133","1","1","1","9837","9837","9837","1","1","1","9892","9892","9892","1","1","1","18279","18279","18279","1","1","1","10201","10201","10201","1","1","1","10182","10182","10182","0.8","0.8","0.8","10231","10231","10231","1","1","1"
"221","10135","10135","10135","1","1","1","9839","9839","9839","1","1","1","9894","9894","9894","1","1","1","18281","18281","18281","1","1","1","10203","10203","10203","1","1","1","10184","10184","10184","1","1","1","10233","10233","10233","1","1","1"
"222","10137","10137","10137","1","1","1","9841","9841","9841","1","1","1","9896","9896","9896","0.8","0.8","0.8","18283","18283","18283","1","1","1","10205","10205","10205","1","1","1","10186","10186","10186","1","1","1","10235","10235","10235","1","1","1"
"223","10139","10139","10139","1","1","1","9843","9843","9843","1","1","1","9898","9898","9898","1","1","1","18285","18285","18285","1","1","1","10207","10207","10207","1","1","1","10188","10188","10188","1","1","1","10237","10237","10237","1","1","1"
"224","10141","10141","10141","1","1","1","9845","9845","9845","1","1","1","9900","9900","9900","1","1","1","18287","18287","18287","1","1","1","10209","10209","10209","1","1","1","10190","10190","10190","1","1","1","10239","10239","10239","1","1","1"
"225","10300","10300","10300","0.8","0.8","0.8","10009","10009","10009","0.8","0.8","0.8","10063","10063","10063","0.8","0.8","0.8","18603","18603","18603","0.8","0.8","0.8","10370","10370","10370","1","1","1","10352","10352","10352","1","1","1","10402","10402","10402","1","1","1"
"226","10302","10302","10302","1","1","1","10011","10011","10011","1","1","1","10065","10065","10065","1","1","1","18605","18605","18605","1","1","1","10372","10372","10372","1","1","1","10354","10354","10354","1","1","1","10404","10404","10404","1","1","1"
"227","10304","10304","10304","1","1","1","10013","10013","10013","1","1","1","10067","10067","10067","1","1","1","18607","18607","18607","0.8","0.8","0.8","10374","10374","10374","1","1","1","10356","10356","10356","1","1","1","10406","10406","10406","0.8","0.8","0.8"
"228","10306","10306","10306","1","1","1","10015","10015","10015","0.8","0.8","0.8","10069","10069","10069","1","1","1","18609","18609","18609","1","1","1","10376","10376","10376","1","1","1","10358","10358","10358","1","1","1","10408","10408","10408","1","1","1"
"229","10308","10308","10308","1","1","1","10017","10017","10017","1","1","1","10071","10071","10071","1","1","1","18611","18611","18611","1","1","1","10378","10378","10378","1","1","1","10360","10360","10360","0.8","0.8","0.8","10410","10410","10410","1","1","1"
"230","10310","10310","10310","1","1","1","10019","10019","10019","1","1","1","10073","10073","10073","1","1","1","18613","18613","18613","0.8","0.8","0.8","10380","10380","10380","1","1","1","10362","10362","10362","1","1","1","10412","10412","10412","0.8","0.8","0.8"
"231","10312","10312","10312","1","1","1","10021","10021","10021","1","1","1","10075","10075","10075","0.8","0.8","0.8","18615","18615","18615","1","1","1","10382","10382","10382","1","1","1","10364","10364","10364","1","1","1","10414","10414","10414","1","1","1"
"232","10314","10314","10314","1","1","1","10023","10023","10023","1","1","1","10077","10077","10077","1","1","1","18617","18617","18617","1","1","1","10384","10384","10384","1","1","1","10366","10366","10366","1","1","1","10416","10416","10416","1","1","1"
"233","10316","10316","10316","1","1","1","10025","10025","10025","1","1","1","10079","10079","10079","1","1","1","18619","18619","18619","1","1","1","10386","10386","10386","1","1","1","10368","10368","10368","0.8","0.8","0.8","10418","10418","10418","1","1","1"
"234","10480","10480","10480","1","1","1","10184","10184","10184","1","1","1","10245","10245","10245","0.8","0.8","0.8","18936","18936","18936","1","1","1","10548","10548","10548","1","1","1","10529","10529","10529","1","1","1","10582","10582","10582","1","1","1"
"235","10482","10482","10482","1","1","1","10186","10186","10186","1","1","1","10247","10247","10247","1","1","1","18938","18938","18938","1","1","1","10550","10550","10550","1","1","1","10531","10531","10531","1","1","1","10584","10584","10584","1","1","1"
"236","10484","10484","10484","1","1","1","10188","10188","10188","1","1","1","10249","10249","10249","1","1","1","18940","18940","18940","1","1","1","10552","10552","10552","1","1","1","10533","10533","10533","1","1","1","10586","10586","10586","1","1","1"
"237","10486","10486","10486","1","1","1","10190","10190","10190","1","1","1","10251","10251","10251","1","1","1","18942","18942","18942","1","1","1","10554","10554","10554","1","1","1","10535","10535","10535","0.8","0.8","0.8","10588","10588","10588","1","1","1"
"238","10488","10488","10488","1","1","1","10192","10192","10192","1","1","1","10253","10253","10253","1","1","1","18944","18944","18944","1","1","1","10556","10556","10556","1","1","1","10537","10537","10537","1","1","1","10590","10590","10590","1","1","1"
"239","10490","10490","10490","1","1","1","10194","10194","10194","1","1","1","10255","10255","10255","1","1","1","18946","18946","18946","0.8","0.8","0.8","10558","10558","10558","1","1","1","10539","10539","10539","1","1","1","10592","10592","10592","1","1","1"
"240","10492","10492","10492","1","1","1","10196","10196","10196","1","1","1","10257","10257","10257","1","1","1","18948","18948","18948","1","1","1","10560","10560","10560","1","1","1","10541","10541","10541","1","1","1","10594","10594","10594","1","1","1"
"241","10494","10494","10494","1","1","1","10198","10198","10198","1","1","1","10259","10259","10259","1","1","1","18950","18950","18950","1","1","1","10562","10562","10562","1","1","1","10543","10543","10543","0.9","0.9","0.9","10596","10596","10596","1","1","1"
"242","10496","10496","10496","1","1","1","10200","10200","10200","1","1","1","10261","10261","10261","1","1","1","18952","18952","18952","0.9","0.9","0.9","10564","10564","10564","1","1","1","10545","10545","10545","1","1","1","10598","10598","10598","1","1","1"
"243","10658","10658","10658","1","1","1","10363","10363","10363","0.8","0.8","0.8","10422","10422","10422","0.8","0.8","0.8","19268","19268","19268","1","1","1","10725","10725","10725","1","1","1","10705","10705","10705","1","1","1","10758","10758","10758","0.8","0.8","0.8"
"244","10660","10660","10660","1","1","1","10365","10365","10365","1","1","1","10424","10424","10424","1","1","1","19270","19270","19270","1","1","1","10727","10727","10727","1","1","1","10707","10707","10707","1","1","1","10760","10760","10760","1","1","1"
"245","10662","10662","10662","1","1","1","10367","10367","10367","1","1","1","10426","10426","10426","1","1","1","19272","19272","19272","1","1","1","10729","10729","10729","1","1","1","10709","10709","10709","0.8","0.8","0.8","10762","10762","10762","1","1","1"
"246","10664","10664","10664","1","1","1","10369","10369","10369","1","1","1","10428","10428","10428","1","1","1","19274","19274","19274","1","1","1","10731","10731","10731","1","1","1","10711","10711","10711","1","1","1","10764","10764","10764","1","1","1"
"247","10666","10666","10666","1","1","1","10371","10371","10371","1","1","1","10430","10430","10430","1","1","1","19276","19276","19276","1","1","1","10733","10733","10733","1","1","1","10713","10713","10713","1","1","1","10766","10766","10766","1","1","1"
"248","10668","10668","10668","1","1","1","10373","10373","10373","1","1","1","10432","10432","10432","1","1","1","19278","19278","19278","1","1","1","10735","10735","10735","1","1","1","10715","10715","10715","1","1","1","10768","10768","10768","1","1","1"
"249","10670","10670","10670","1","1","1","10375","10375","10375","1","1","1","10434","10434","10434","1","1","1","19280","19280","19280","1","1","1","10737","10737","10737","1","1","1","10717","10717","10717","1","1","1","10770","10770","10770","1","1","1"
"250","10672","10672","10672","1","1","1","10377","10377","10377","1","1","1","10436","10436","10436","1","1","1","19282","19282","19282","1","1","1","10739","10739","10739","0.8","0.8","0.8","10719","10719","10719","1","1","1","10772","10772","10772","1","1","1"
"251","10674","10674","10674","1","1","1","10379","10379","10379","1","1","1","10438","10438","10438","1","1","1","19284","19284","19284","1","1","1","10741","10741","10741","1","1","1","10721","10721","10721","1","1","1","10774","10774","10774","1","1","1"
"252","10839","10839","10839","0.8","0.8","0.8","10536","10536","10536","1","1","1","10596","10596","10596","0.8","0.8","0.8","19601","19601","19601","0.8","0.8","0.8","10898","10898","10898","1","1","1","10882","10882","10882","0.8","0.8","0.8","10934","10934","10934","1","1","1"
"253","10841","10841","10841","1","1","1","10538","10538","10538","1","1","1","10598","10598","10598","1","1","1","19603","19603","19603","1","1","1","10900","10900","10900","1","1","1","10884","10884","10884","1","1","1","10936","10936","10936","1","1","1"
"254","10843","10843","10843","0.8","0.8","0.8","10540","10540","10540","1","1","1","10600","10600","10600","1","1","1","19605","19605","19605","1","1","1","10902","10902","10902","1","1","1","10886","10886","10886","0.8","0.8","0.8","10938","10938","10938","0.8","0.8","0.8"
"255","10845","10845","10845","1","1","1","10542","10542","10542","1","1","1","10602","10602","10602","1","1","1","19607","19607","19607","1","1","1","10904","10904","10904","1","1","1","10888","10888","10888","1","1","1","10940","10940","10940","1","1","1"
"256","10847","10847","10847","1","1","1","10544","10544","10544","1","1","1","10604","10604","10604","1","1","1","19609","19609","19609","1","1","1","10906","10906","10906","1","1","1","10890","10890","10890","1","1","1","10942","10942","10942","1","1","1"
"257","10849","10849","10849","1","1","1","10546","10546","10546","1","1","1","10606","10606","10606","1","1","1","19611","19611","19611","1","1","1","10908","10908","10908","1","1","1","10892","10892","10892","1","1","1","10944","10944","10944","1","1","1"
"258","10851","10851","10851","1","1","1","10548","10548","10548","1","1","1","10608","10608","10608","1","1","1","19613","19613","19613","1","1","1","10910","10910","10910","1","1","1","10894","10894","10894","1","1","1","10946","10946","10946","1","1","1"
"259","10853","10853","10853","1","1","1","10550","10550","10550","1","1","1","10610","10610","10610","1","1","1","19615","19615","19615","1","1","1","10912","10912","10912","1","1","1","10896","10896","10896","1","1","1","10948","10948","10948","1","1","1"
"260","10855","10855","10855","1","1","1","10552","10552","10552","1","1","1","10612","10612","10612","1","1","1","19617","19617","19617","1","1","1","10914","10914","10914","1","1","1","10898","10898","10898","1","1","1","10950","10950","10950","1","1","1"
"261","11019","11019","11019","0.8","0.8","0.8","10715","10715","10715","0.8","0.8","0.8","10775","10775","10775","0.8","0.8","0.8","19934","19934","19934","0.8","0.8","0.8","11075","11075","11075","1","1","1","11056","11056","11056","1","1","1","11112","11112","11112","0.8","0.8","0.8"
"262","11021","11021","11021","1","1","1","10717","10717","10717","1","1","1","10777","10777","10777","1","1","1","19936","19936","19936","1","1","1","11077","11077","11077","1","1","1","11058","11058","11058","1","1","1","11114","11114","11114","1","1","1"
"263","11023","11023","11023","0.8","0.8","0.8","10719","10719","10719","1","1","1","10779","10779","10779","1","1","1","19938","19938","19938","1","1","1","11079","11079","11079","1","1","1","11060","11060","11060","1","1","1","11116","11116","11116","1","1","1"
"264","11025","11025","11025","1","1","1","10721","10721","10721","1","1","1","10781","10781","10781","0.8","0.8","0.8","19940","19940","19940","1","1","1","11081","11081","11081","1","1","1","11062","11062","11062","1","1","1","11118","11118","11118","1","1","1"
"265","11027","11027","11027","1","1","1","10723","10723","10723","1","1","1","10783","10783","10783","1","1","1","19942","19942","19942","1","1","1","11083","11083","11083","1","1","1","11064","11064","11064","1","1","1","11120","11120","11120","1","1","1"
"266","11029","11029","11029","1","1","1","10725","10725","10725","1","1","1","10785","10785","10785","1","1","1","19944","19944","19944","0.8","0.8","0.8","11085","11085","11085","1","1","1","11066","11066","11066","1","1","1","11122","11122","11122","1","1","1"
"267","11031","11031","11031","1","1","1","10727","10727","10727","1","1","1","10787","10787","10787","0.9","0.9","0.9","19946","19946","19946","1","1","1","11087","11087","11087","1","1","1","11068","11068","11068","1","1","1","11124","11124","11124","1","1","1"
"268","11033","11033","11033","1","1","1","10729","10729","10729","1","1","1","10789","10789","10789","1","1","1","19948","19948","19948","1","1","1","11089","11089","11089","1","1","1","11070","11070","11070","1","1","1","11126","11126","11126","1","1","1"
"269","11035","11035","11035","1","1","1","10731","10731","10731","1","1","1","10791","10791","10791","1","1","1","19950","19950","19950","1","1","1","11091","11091","11091","1","1","1","11072","11072","11072","1","1","1","11128","11128","11128","1","1","1"
"270","11196","11196","11196","0.8","0.8","0.8","10888","10888","10888","0.8","0.8","0.8","10955","10955","10955","1","1","1","20266","20266","20266","0.8","0.8","0.8","11251","11251","11251","1","1","1","11232","11232","11232","1","1","1","11289","11289","11289","0.8","0.8","0.8"
"271","11198","11198","11198","1","1","1","10890","10890","10890","1","1","1","10957","10957","10957","1","1","1","20268","20268","20268","1","1","1","11253","11253","11253","1","1","1","11234","11234","11234","1","1","1","11291","11291","11291","1","1","1"
"272","11200","11200","11200","1","1","1","10892","10892","10892","1","1","1","10959","10959","10959","1","1","1","20270","20270","20270","1","1","1","11255","11255","11255","1","1","1","11236","11236","11236","0.8","0.8","0.8","11293","11293","11293","0.8","0.8","0.8"
"273","11202","11202","11202","1","1","1","10894","10894","10894","1","1","1","10961","10961","10961","1","1","1","20272","20272","20272","1","1","1","11257","11257","11257","1","1","1","11238","11238","11238","1","1","1","11295","11295","11295","1","1","1"
"274","11204","11204","11204","1","1","1","10896","10896","10896","1","1","1","10963","10963","10963","1","1","1","20274","20274","20274","1","1","1","11259","11259","11259","1","1","1","11240","11240","11240","1","1","1","11297","11297","11297","1","1","1"
"275","11206","11206","11206","1","1","1","10898","10898","10898","1","1","1","10965","10965","10965","1","1","1","20276","20276","20276","1","1","1","11261","11261","11261","1","1","1","11242","11242","11242","1","1","1","11299","11299","11299","1","1","1"
"276","11208","11208","11208","1","1","1","10900","10900","10900","1","1","1","10967","10967","10967","1","1","1","20278","20278","20278","1","1","1","11263","11263","11263","1","1","1","11244","11244","11244","1","1","1","11301","11301","11301","1","1","1"
"277","11210","11210","11210","1","1","1","10902","10902","10902","1","1","1","10969","10969","10969","1","1","1","20280","20280","20280","1","1","1","11265","11265","11265","1","1","1","11246","11246","11246","1","1","1","11303","11303","11303","1","1","1"
"278","11212","11212","11212","1","1","1","10904","10904","10904","1","1","1","10971","10971","10971","1","1","1","20282","20282","20282","1","1","1","11267","11267","11267","1","1","1","11248","11248","11248","1","1","1","11305","11305","11305","1","1","1"
"279","11376","11376","11376","0.8","0.8","0.8","11062","11062","11062","1","1","1","11137","11137","11137","1","1","1","20599","20599","20599","0.8","0.8","0.8","11426","11426","11426","1","1","1","11406","11406","11406","1","1","1","11461","11461","11461","0.8","0.8","0.8"
"280","11378","11378","11378","1","1","1","11064","11064","11064","1","1","1","11139","11139","11139","1","1","1","20601","20601","20601","1","1","1","11428","11428","11428","1","1","1","11408","11408","11408","1","1","1","11463","11463","11463","1","1","1"
"281","11380","11380","11380","0.8","0.8","0.8","11066","11066","11066","1","1","1","11141","11141","11141","1","1","1","20603","20603","20603","1","1","1","11430","11430","11430","1","1","1","11410","11410","11410","1","1","1","11465","11465","11465","0.8","0.8","0.8"
"282","11382","11382","11382","1","1","1","11068","11068","11068","1","1","1","11143","11143","11143","0.8","0.8","0.8","20605","20605","20605","1","1","1","11432","11432","11432","1","1","1","11412","11412","11412","1","1","1","11467","11467","11467","1","1","1"
"283","11384","11384","11384","1","1","1","11070","11070","11070","1","1","1","11145","11145","11145","1","1","1","20607","20607","20607","1","1","1","11434","11434","11434","1","1","1","11414","11414","11414","1","1","1","11469","11469","11469","0.8","0.8","0.8"
"284","11386","11386","11386","1","1","1","11072","11072","11072","1","1","1","11147","11147","11147","1","1","1","20609","20609","20609","1","1","1","11436","11436","11436","1","1","1","11416","11416","11416","1","1","1","11471","11471","11471","1","1","1"
"285","11388","11388","11388","1","1","1","11074","11074","11074","1","1","1","11149","11149","11149","1","1","1","20611","20611","20611","1","1","1","11438","11438","11438","1","1","1","11418","11418","11418","1","1","1","11473","11473","11473","1","1","1"
"286","11390","11390","11390","1","1","1","11076","11076","11076","1","1","1","11151","11151","11151","1","1","1","20613","20613","20613","1","1","1","11440","11440","11440","1","1","1","11420","11420","11420","1","1","1","11475","11475","11475","1","1","1"
"287","11392","11392","11392","1","1","1","11078","11078","11078","1","1","1","11153","11153","11153","1","1","1","20615","20615","20615","1","1","1","11442","11442","11442","1","1","1","11422","11422","11422","1","1","1","11477","11477","11477","1","1","1"
"288","11553","11553","11553","0.8","0.8","0.8","11238","11238","11238","0.8","0.8","0.8","11321","11321","11321","0.8","0.8","0.8","20931","20931","20931","0.8","0.8","0.8","11600","11600","11600","1","1","1","11586","11586","11586","1","1","1","11640","11640","11640","0.8","0.8","0.8"
"289","11555","11555","11555","1","1","1","11240","11240","11240","1","1","1","11323","11323","11323","1","1","1","20933","20933","20933","1","1","1","11602","11602","11602","1","1","1","11588","11588","11588","1","1","1","11642","11642","11642","1","1","1"
"290","11557","11557","11557","1","1","1","11242","11242","11242","0.8","0.8","0.8","11325","11325","11325","1","1","1","20935","20935","20935","1","1","1","11604","11604","11604","1","1","1","11590","11590","11590","1","1","1","11644","11644","11644","0.8","0.8","0.8"
"291","11559","11559","11559","1","1","1","11244","11244","11244","1","1","1","11327","11327","11327","0.8","0.8","0.8","20937","20937","20937","0.8","0.8","0.8","11606","11606","11606","1","1","1","11592","11592","11592","1","1","1","11646","11646","11646","1","1","1"
"292","11561","11561","11561","1","1","1","11246","11246","11246","1","1","1","11329","11329","11329","1","1","1","20939","20939","20939","1","1","1","11608","11608","11608","1","1","1","11594","11594","11594","1","1","1","11648","11648","11648","1","1","1"
"293","11563","11563","11563","1","1","1","11248","11248","11248","1","1","1","11331","11331","11331","1","1","1","20941","20941","20941","1","1","1","11610","11610","11610","1","1","1","11596","11596","11596","1","1","1","11650","11650","11650","1","1","1"
"294","11565","11565","11565","1","1","1","11250","11250","11250","1","1","1","11333","11333","11333","0.8","0.8","0.8","20943","20943","20943","0.8","0.8","0.8","11612","11612","11612","1","1","1","11598","11598","11598","0.8","0.8","0.8","11652","11652","11652","1","1","1"
