"Evaluate/step_episode","no_extra_reward_rainbowmini_2025-05-31_12-10-08 - _step","no_extra_reward_rainbowmini_2025-05-31_12-10-08 - _step__MIN","no_extra_reward_rainbowmini_2025-05-31_12-10-08 - _step__MAX","no_extra_reward_rainbowmini_2025-05-31_12-10-08 - Evaluate/EpProgress","no_extra_reward_rainbowmini_2025-05-31_12-10-08 - Evaluate/EpProgress__MIN","no_extra_reward_rainbowmini_2025-05-31_12-10-08 - Evaluate/EpProgress__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX"
"702","19791","19791","19791","0.8","0.8","0.8","36222","36222","36222","0.8","0.8","0.8","19719","19719","19719","0.8","0.8","0.8"
"703","19793","19793","19793","1","1","1","36224","36224","36224","0.8","0.8","0.8","19721","19721","19721","1","1","1"
"704","19795","19795","19795","1","1","1","36226","36226","36226","1","1","1","19723","19723","19723","1","1","1"
"705","19797","19797","19797","0.8","0.8","0.8","36228","36228","36228","0.8","0.8","0.8","19725","19725","19725","1","1","1"
"706","19799","19799","19799","1","1","1","36230","36230","36230","1","1","1","19727","19727","19727","1","1","1"
"707","19801","19801","19801","1","1","1","36232","36232","36232","1","1","1","19729","19729","19729","1","1","1"
"708","19803","19803","19803","1","1","1","36234","36234","36234","0.8","0.8","0.8","19731","19731","19731","1","1","1"
"709","19805","19805","19805","1","1","1","36236","36236","36236","1","1","1","19733","19733","19733","1","1","1"
"710","19807","19807","19807","1","1","1","36238","36238","36238","1","1","1","19735","19735","19735","1","1","1"
"711","19966","19966","19966","0.8","0.8","0.8","36554","36554","36554","0.8","0.8","0.8","19893","19893","19893","0.8","0.8","0.8"
"712","19968","19968","19968","1","1","1","36556","36556","36556","1","1","1","19895","19895","19895","1","1","1"
"713","19970","19970","19970","1","1","1","36558","36558","36558","1","1","1","19897","19897","19897","1","1","1"
"714","19972","19972","19972","0.8","0.8","0.8","36560","36560","36560","0.8","0.8","0.8","19899","19899","19899","1","1","1"
"715","19974","19974","19974","1","1","1","36562","36562","36562","1","1","1","19901","19901","19901","1","1","1"
"716","19976","19976","19976","0.8","0.8","0.8","36564","36564","36564","1","1","1","19903","19903","19903","1","1","1"
"717","19978","19978","19978","1","1","1","36566","36566","36566","0.8","0.8","0.8","19905","19905","19905","1","1","1"
"718","19980","19980","19980","1","1","1","36568","36568","36568","1","1","1","19907","19907","19907","1","1","1"
"719","19982","19982","19982","0.9","0.9","0.9","36570","36570","36570","1","1","1","19909","19909","19909","1","1","1"
"720","20142","20142","20142","0.8","0.8","0.8","36886","36886","36886","0.8","0.8","0.8","20071","20071","20071","0.8","0.8","0.8"
"721","20144","20144","20144","1","1","1","36888","36888","36888","1","1","1","20073","20073","20073","1","1","1"
"722","20146","20146","20146","1","1","1","36890","36890","36890","1","1","1","20075","20075","20075","1","1","1"
"723","20148","20148","20148","1","1","1","36892","36892","36892","0.8","0.8","0.8","20077","20077","20077","1","1","1"
"724","20150","20150","20150","1","1","1","36894","36894","36894","1","1","1","20079","20079","20079","1","1","1"
"725","20152","20152","20152","1","1","1","36896","36896","36896","1","1","1","20081","20081","20081","1","1","1"
"726","20154","20154","20154","1","1","1","36898","36898","36898","0.8","0.8","0.8","20083","20083","20083","1","1","1"
"727","20156","20156","20156","1","1","1","36900","36900","36900","1","1","1","20085","20085","20085","1","1","1"
"728","20158","20158","20158","1","1","1","36902","36902","36902","1","1","1","20087","20087","20087","1","1","1"
"729","20325","20325","20325","0.8","0.8","0.8","37219","37219","37219","0.8","0.8","0.8","20250","20250","20250","0.8","0.8","0.8"
"730","20327","20327","20327","1","1","1","37221","37221","37221","1","1","1","20252","20252","20252","1","1","1"
"731","20329","20329","20329","1","1","1","37223","37223","37223","0.8","0.8","0.8","20254","20254","20254","1","1","1"
"732","20331","20331","20331","0.8","0.8","0.8","37225","37225","37225","0.8","0.8","0.8","20256","20256","20256","1","1","1"
"733","20333","20333","20333","1","1","1","37227","37227","37227","1","1","1","20258","20258","20258","1","1","1"
"734","20335","20335","20335","1","1","1","37229","37229","37229","1","1","1","20260","20260","20260","1","1","1"
"735","20337","20337","20337","1","1","1","37231","37231","37231","0.8","0.8","0.8","20262","20262","20262","1","1","1"
"736","20339","20339","20339","1","1","1","37233","37233","37233","1","1","1","20264","20264","20264","1","1","1"
"737","20341","20341","20341","1","1","1","37235","37235","37235","1","1","1","20266","20266","20266","1","1","1"
"738","20499","20499","20499","0.8","0.8","0.8","37551","37551","37551","0.8","0.8","0.8","20424","20424","20424","0.8","0.8","0.8"
"739","20501","20501","20501","1","1","1","37553","37553","37553","1","1","1","20426","20426","20426","1","1","1"
"740","20503","20503","20503","1","1","1","37555","37555","37555","1","1","1","20428","20428","20428","1","1","1"
"741","20505","20505","20505","1","1","1","37557","37557","37557","0.8","0.8","0.8","20430","20430","20430","1","1","1"
"742","20507","20507","20507","1","1","1","37559","37559","37559","1","1","1","20432","20432","20432","1","1","1"
"743","20509","20509","20509","1","1","1","37561","37561","37561","1","1","1","20434","20434","20434","1","1","1"
"744","20511","20511","20511","1","1","1","37563","37563","37563","0.8","0.8","0.8","20436","20436","20436","1","1","1"
"745","20513","20513","20513","1","1","1","37565","37565","37565","1","1","1","20438","20438","20438","1","1","1"
"746","20515","20515","20515","1","1","1","37567","37567","37567","1","1","1","20440","20440","20440","1","1","1"
"747","20680","20680","20680","0.8","0.8","0.8","37884","37884","37884","0.8","0.8","0.8","20601","20601","20601","0.8","0.8","0.8"
"748","20682","20682","20682","1","1","1","37886","37886","37886","1","1","1","20603","20603","20603","1","1","1"
"749","20684","20684","20684","1","1","1","37888","37888","37888","1","1","1","20605","20605","20605","1","1","1"
"750","20686","20686","20686","1","1","1","37890","37890","37890","0.8","0.8","0.8","20607","20607","20607","1","1","1"
"751","20688","20688","20688","1","1","1","37892","37892","37892","1","1","1","20609","20609","20609","1","1","1"
"752","20690","20690","20690","1","1","1","37894","37894","37894","1","1","1","20611","20611","20611","1","1","1"
"753","20692","20692","20692","1","1","1","37896","37896","37896","0.8","0.8","0.8","20613","20613","20613","1","1","1"
"754","20694","20694","20694","1","1","1","37898","37898","37898","1","1","1","20615","20615","20615","1","1","1"
"755","20696","20696","20696","1","1","1","37900","37900","37900","1","1","1","20617","20617","20617","1","1","1"
"756","20854","20854","20854","0.8","0.8","0.8","38216","38216","38216","0.8","0.8","0.8","20777","20777","20777","0.8","0.8","0.8"
"757","20856","20856","20856","1","1","1","38218","38218","38218","1","1","1","20779","20779","20779","1","1","1"
"758","20858","20858","20858","1","1","1","38220","38220","38220","1","1","1","20781","20781","20781","1","1","1"
"759","20860","20860","20860","1","1","1","38222","38222","38222","0.8","0.8","0.8","20783","20783","20783","1","1","1"
"760","20862","20862","20862","1","1","1","38224","38224","38224","1","1","1","20785","20785","20785","1","1","1"
"761","20864","20864","20864","1","1","1","38226","38226","38226","1","1","1","20787","20787","20787","1","1","1"
"762","20866","20866","20866","1","1","1","38228","38228","38228","0.8","0.8","0.8","20789","20789","20789","1","1","1"
"763","20868","20868","20868","1","1","1","38230","38230","38230","1","1","1","20791","20791","20791","1","1","1"
"764","20870","20870","20870","1","1","1","38232","38232","38232","1","1","1","20793","20793","20793","1","1","1"
"765","21033","21033","21033","0.8","0.8","0.8","38548","38548","38548","0.8","0.8","0.8","20950","20950","20950","1","1","1"
"766","21035","21035","21035","1","1","1","38550","38550","38550","1","1","1","20952","20952","20952","1","1","1"
"767","21037","21037","21037","1","1","1","38552","38552","38552","1","1","1","20954","20954","20954","1","1","1"
"768","21039","21039","21039","1","1","1","38554","38554","38554","1","1","1","20956","20956","20956","1","1","1"
"769","21041","21041","21041","1","1","1","38556","38556","38556","1","1","1","20958","20958","20958","1","1","1"
"770","21043","21043","21043","1","1","1","38558","38558","38558","1","1","1","20960","20960","20960","1","1","1"
"771","21045","21045","21045","1","1","1","38560","38560","38560","0.8","0.8","0.8","20962","20962","20962","1","1","1"
"772","21047","21047","21047","1","1","1","38562","38562","38562","1","1","1","20964","20964","20964","1","1","1"
"773","21049","21049","21049","1","1","1","38564","38564","38564","1","1","1","20966","20966","20966","1","1","1"
"774","21205","21205","21205","0.8","0.8","0.8","38881","38881","38881","0.8","0.8","0.8","21131","21131","21131","1","1","1"
"775","21207","21207","21207","1","1","1","38883","38883","38883","1","1","1","21133","21133","21133","1","1","1"
"776","21209","21209","21209","1","1","1","38885","38885","38885","1","1","1","21135","21135","21135","1","1","1"
"777","21211","21211","21211","1","1","1","38887","38887","38887","1","1","1","21137","21137","21137","1","1","1"
"778","21213","21213","21213","1","1","1","38889","38889","38889","1","1","1","21139","21139","21139","1","1","1"
"779","21215","21215","21215","1","1","1","38891","38891","38891","1","1","1","21141","21141","21141","1","1","1"
"780","21217","21217","21217","1","1","1","38893","38893","38893","1","1","1","21143","21143","21143","1","1","1"
"781","21219","21219","21219","1","1","1","38895","38895","38895","1","1","1","21145","21145","21145","1","1","1"
"782","21221","21221","21221","1","1","1","38897","38897","38897","1","1","1","21147","21147","21147","1","1","1"
"783","21384","21384","21384","0.8","0.8","0.8","39213","39213","39213","0.8","0.8","0.8","21305","21305","21305","1","1","1"
"784","21386","21386","21386","1","1","1","39215","39215","39215","0.8","0.8","0.8","21307","21307","21307","1","1","1"
"785","21388","21388","21388","1","1","1","39217","39217","39217","0.8","0.8","0.8","21309","21309","21309","1","1","1"
"786","21390","21390","21390","1","1","1","39219","39219","39219","1","1","1","21311","21311","21311","1","1","1"
"787","21392","21392","21392","1","1","1","39221","39221","39221","1","1","1","21313","21313","21313","1","1","1"
"788","21394","21394","21394","1","1","1","39223","39223","39223","1","1","1","21315","21315","21315","1","1","1"
"789","21396","21396","21396","1","1","1","39225","39225","39225","1","1","1","21317","21317","21317","1","1","1"
"790","21398","21398","21398","1","1","1","39227","39227","39227","1","1","1","21319","21319","21319","1","1","1"
"791","21400","21400","21400","1","1","1","39229","39229","39229","1","1","1","21321","21321","21321","1","1","1"
"792","21560","21560","21560","0.8","0.8","0.8","39545","39545","39545","0.8","0.8","0.8","21480","21480","21480","1","1","1"
"793","21562","21562","21562","1","1","1","39547","39547","39547","1","1","1","21482","21482","21482","1","1","1"
"794","21564","21564","21564","0.8","0.8","0.8","39549","39549","39549","1","1","1","21484","21484","21484","1","1","1"
"795","21566","21566","21566","1","1","1","39551","39551","39551","0.8","0.8","0.8","21486","21486","21486","1","1","1"
"796","21568","21568","21568","1","1","1","39553","39553","39553","1","1","1","21488","21488","21488","1","1","1"
"797","21570","21570","21570","1","1","1","39555","39555","39555","1","1","1","21490","21490","21490","1","1","1"
"798","21572","21572","21572","1","1","1","39557","39557","39557","1","1","1","21492","21492","21492","1","1","1"
"799","21574","21574","21574","1","1","1","39559","39559","39559","1","1","1","21494","21494","21494","1","1","1"
"800","21576","21576","21576","1","1","1","39561","39561","39561","1","1","1","21496","21496","21496","1","1","1"
"801","21739","21739","21739","0.8","0.8","0.8","39878","39878","39878","0.8","0.8","0.8","21658","21658","21658","1","1","1"
"802","21741","21741","21741","1","1","1","39880","39880","39880","1","1","1","21660","21660","21660","1","1","1"
"803","21743","21743","21743","1","1","1","39882","39882","39882","0.8","0.8","0.8","21662","21662","21662","1","1","1"
"804","21745","21745","21745","0.8","0.8","0.8","39884","39884","39884","0.8","0.8","0.8","21664","21664","21664","1","1","1"
"805","21747","21747","21747","1","1","1","39886","39886","39886","1","1","1","21666","21666","21666","1","1","1"
"806","21749","21749","21749","1","1","1","39888","39888","39888","1","1","1","21668","21668","21668","1","1","1"
"807","21751","21751","21751","1","1","1","39890","39890","39890","0.8","0.8","0.8","21670","21670","21670","1","1","1"
"808","21753","21753","21753","1","1","1","39892","39892","39892","1","1","1","21672","21672","21672","1","1","1"
"809","21755","21755","21755","1","1","1","39894","39894","39894","1","1","1","21674","21674","21674","1","1","1"
"810","21917","21917","21917","0.8","0.8","0.8","40210","40210","40210","0.8","0.8","0.8","21837","21837","21837","1","1","1"
"811","21919","21919","21919","1","1","1","40212","40212","40212","1","1","1","21839","21839","21839","1","1","1"
"812","21921","21921","21921","1","1","1","40214","40214","40214","1","1","1","21841","21841","21841","1","1","1"
"813","21923","21923","21923","1","1","1","40216","40216","40216","1","1","1","21843","21843","21843","1","1","1"
"814","21925","21925","21925","1","1","1","40218","40218","40218","1","1","1","21845","21845","21845","1","1","1"
"815","21927","21927","21927","1","1","1","40220","40220","40220","1","1","1","21847","21847","21847","1","1","1"
"816","21929","21929","21929","1","1","1","40222","40222","40222","1","1","1","21849","21849","21849","1","1","1"
"817","21931","21931","21931","1","1","1","40224","40224","40224","1","1","1","21851","21851","21851","1","1","1"
"818","21933","21933","21933","1","1","1","40226","40226","40226","1","1","1","21853","21853","21853","1","1","1"
"819","22094","22094","22094","0.8","0.8","0.8","40543","40543","40543","0.8","0.8","0.8","22015","22015","22015","1","1","1"
"820","22096","22096","22096","1","1","1","40545","40545","40545","0.8","0.8","0.8","22017","22017","22017","1","1","1"
"821","22098","22098","22098","1","1","1","40547","40547","40547","1","1","1","22019","22019","22019","1","1","1"
"822","22100","22100","22100","1","1","1","40549","40549","40549","0.8","0.8","0.8","22021","22021","22021","1","1","1"
"823","22102","22102","22102","1","1","1","40551","40551","40551","1","1","1","22023","22023","22023","1","1","1"
"824","22104","22104","22104","1","1","1","40553","40553","40553","1","1","1","22025","22025","22025","0.8","0.8","0.8"
"825","22106","22106","22106","1","1","1","40555","40555","40555","0.8","0.8","0.8","22027","22027","22027","1","1","1"
"826","22108","22108","22108","1","1","1","40557","40557","40557","1","1","1","22029","22029","22029","1","1","1"
"827","22110","22110","22110","1","1","1","40559","40559","40559","1","1","1","22031","22031","22031","1","1","1"
"828","22272","22272","22272","0.8","0.8","0.8","40875","40875","40875","0.8","0.8","0.8","22189","22189","22189","0.8","0.8","0.8"
"829","22274","22274","22274","1","1","1","40877","40877","40877","0.8","0.8","0.8","22191","22191","22191","1","1","1"
"830","22276","22276","22276","1","1","1","40879","40879","40879","1","1","1","22193","22193","22193","1","1","1"
"831","22278","22278","22278","1","1","1","40881","40881","40881","1","1","1","22195","22195","22195","1","1","1"
"832","22280","22280","22280","1","1","1","40883","40883","40883","1","1","1","22197","22197","22197","1","1","1"
"833","22282","22282","22282","1","1","1","40885","40885","40885","1","1","1","22199","22199","22199","1","1","1"
"834","22284","22284","22284","1","1","1","40887","40887","40887","0.8","0.8","0.8","22201","22201","22201","1","1","1"
"835","22286","22286","22286","1","1","1","40889","40889","40889","1","1","1","22203","22203","22203","1","1","1"
"836","22288","22288","22288","1","1","1","40891","40891","40891","1","1","1","22205","22205","22205","1","1","1"
"837","22453","22453","22453","0.8","0.8","0.8","41207","41207","41207","0.8","0.8","0.8","22366","22366","22366","1","1","1"
"838","22455","22455","22455","1","1","1","41209","41209","41209","1","1","1","22368","22368","22368","1","1","1"
"839","22457","22457","22457","1","1","1","41211","41211","41211","1","1","1","22370","22370","22370","1","1","1"
"840","22459","22459","22459","1","1","1","41213","41213","41213","1","1","1","22372","22372","22372","1","1","1"
"841","22461","22461","22461","1","1","1","41215","41215","41215","1","1","1","22374","22374","22374","1","1","1"
"842","22463","22463","22463","1","1","1","41217","41217","41217","1","1","1","22376","22376","22376","1","1","1"
"843","22465","22465","22465","1","1","1","41219","41219","41219","1","1","1","22378","22378","22378","1","1","1"
"844","22467","22467","22467","1","1","1","41221","41221","41221","1","1","1","22380","22380","22380","1","1","1"
"845","22469","22469","22469","1","1","1","41223","41223","41223","1","1","1","22382","22382","22382","1","1","1"
"846","22629","22629","22629","0.8","0.8","0.8","41540","41540","41540","0.8","0.8","0.8","22541","22541","22541","1","1","1"
"847","22631","22631","22631","1","1","1","41542","41542","41542","0.8","0.8","0.8","22543","22543","22543","1","1","1"
"848","22633","22633","22633","1","1","1","41544","41544","41544","1","1","1","22545","22545","22545","1","1","1"
"849","22635","22635","22635","1","1","1","41546","41546","41546","1","1","1","22547","22547","22547","1","1","1"
"850","22637","22637","22637","1","1","1","41548","41548","41548","1","1","1","22549","22549","22549","1","1","1"
"851","22639","22639","22639","1","1","1","41550","41550","41550","1","1","1","22551","22551","22551","0.8","0.8","0.8"
"852","22641","22641","22641","1","1","1","41552","41552","41552","1","1","1","22553","22553","22553","1","1","1"
"853","22643","22643","22643","1","1","1","41554","41554","41554","1","1","1","22555","22555","22555","1","1","1"
"854","22645","22645","22645","1","1","1","41556","41556","41556","1","1","1","22557","22557","22557","1","1","1"
"855","22805","22805","22805","1","1","1","41872","41872","41872","0.8","0.8","0.8","22716","22716","22716","1","1","1"
"856","22807","22807","22807","1","1","1","41874","41874","41874","1","1","1","22718","22718","22718","1","1","1"
"857","22809","22809","22809","0.8","0.8","0.8","41876","41876","41876","1","1","1","22720","22720","22720","1","1","1"
"858","22811","22811","22811","1","1","1","41878","41878","41878","1","1","1","22722","22722","22722","1","1","1"
"859","22813","22813","22813","1","1","1","41880","41880","41880","1","1","1","22724","22724","22724","1","1","1"
"860","22815","22815","22815","1","1","1","41882","41882","41882","1","1","1","22726","22726","22726","1","1","1"
"861","22817","22817","22817","1","1","1","41884","41884","41884","1","1","1","22728","22728","22728","1","1","1"
"862","22819","22819","22819","1","1","1","41886","41886","41886","1","1","1","22730","22730","22730","1","1","1"
"863","22821","22821","22821","1","1","1","41888","41888","41888","1","1","1","22732","22732","22732","0.9","0.9","0.9"
"864","22984","22984","22984","1","1","1","42205","42205","42205","0.8","0.8","0.8","22890","22890","22890","0.8","0.8","0.8"
"865","22986","22986","22986","1","1","1","42207","42207","42207","1","1","1","22892","22892","22892","1","1","1"
"866","22988","22988","22988","1","1","1","42209","42209","42209","1","1","1","22894","22894","22894","1","1","1"
"867","22990","22990","22990","1","1","1","42211","42211","42211","1","1","1","22896","22896","22896","1","1","1"
"868","22992","22992","22992","1","1","1","42213","42213","42213","1","1","1","22898","22898","22898","1","1","1"
"869","22994","22994","22994","1","1","1","42215","42215","42215","1","1","1","22900","22900","22900","0.8","0.8","0.8"
"870","22996","22996","22996","1","1","1","42217","42217","42217","1","1","1","22902","22902","22902","1","1","1"
"871","22998","22998","22998","1","1","1","42219","42219","42219","1","1","1","22904","22904","22904","1","1","1"
"872","23000","23000","23000","1","1","1","42221","42221","42221","1","1","1","22906","22906","22906","1","1","1"
"873","23159","23159","23159","0.8","0.8","0.8","42537","42537","42537","0.8","0.8","0.8","23063","23063","23063","0.8","0.8","0.8"
"874","23161","23161","23161","1","1","1","42539","42539","42539","1","1","1","23065","23065","23065","1","1","1"
"875","23163","23163","23163","1","1","1","42541","42541","42541","1","1","1","23067","23067","23067","1","1","1"
"876","23165","23165","23165","1","1","1","42543","42543","42543","1","1","1","23069","23069","23069","1","1","1"
"877","23167","23167","23167","1","1","1","42545","42545","42545","1","1","1","23071","23071","23071","1","1","1"
"878","23169","23169","23169","1","1","1","42547","42547","42547","1","1","1","23073","23073","23073","1","1","1"
"879","23171","23171","23171","1","1","1","42549","42549","42549","1","1","1","23075","23075","23075","1","1","1"
"880","23173","23173","23173","1","1","1","42551","42551","42551","1","1","1","23077","23077","23077","1","1","1"
"881","23175","23175","23175","1","1","1","42553","42553","42553","1","1","1","23079","23079","23079","1","1","1"
"882","23336","23336","23336","0.8","0.8","0.8","42869","42869","42869","0.8","0.8","0.8","23239","23239","23239","1","1","1"
"883","23338","23338","23338","1","1","1","42871","42871","42871","0.8","0.8","0.8","23241","23241","23241","1","1","1"
"884","23340","23340","23340","1","1","1","42873","42873","42873","1","1","1","23243","23243","23243","1","1","1"
"885","23342","23342","23342","1","1","1","42875","42875","42875","1","1","1","23245","23245","23245","1","1","1"
"886","23344","23344","23344","1","1","1","42877","42877","42877","1","1","1","23247","23247","23247","1","1","1"
"887","23346","23346","23346","1","1","1","42879","42879","42879","1","1","1","23249","23249","23249","1","1","1"
"888","23348","23348","23348","1","1","1","42881","42881","42881","1","1","1","23251","23251","23251","1","1","1"
"889","23350","23350","23350","1","1","1","42883","42883","42883","1","1","1","23253","23253","23253","1","1","1"
"890","23352","23352","23352","1","1","1","42885","42885","42885","1","1","1","23255","23255","23255","0.8","0.8","0.8"
"891","23512","23512","23512","1","1","1","43202","43202","43202","0.8","0.8","0.8","23416","23416","23416","1","1","1"
"892","23514","23514","23514","1","1","1","43204","43204","43204","0.8","0.8","0.8","23418","23418","23418","1","1","1"
"893","23516","23516","23516","1","1","1","43206","43206","43206","1","1","1","23420","23420","23420","1","1","1"
"894","23518","23518","23518","1","1","1","43208","43208","43208","1","1","1","23422","23422","23422","1","1","1"
"895","23520","23520","23520","1","1","1","43210","43210","43210","1","1","1","23424","23424","23424","1","1","1"
"896","23522","23522","23522","1","1","1","43212","43212","43212","1","1","1","23426","23426","23426","1","1","1"
"897","23524","23524","23524","1","1","1","43214","43214","43214","1","1","1","23428","23428","23428","1","1","1"
"898","23526","23526","23526","1","1","1","43216","43216","43216","1","1","1","23430","23430","23430","1","1","1"
"899","23528","23528","23528","1","1","1","43218","43218","43218","1","1","1","23432","23432","23432","1","1","1"
"900","23686","23686","23686","1","1","1","43534","43534","43534","0.8","0.8","0.8","23593","23593","23593","1","1","1"
"901","23688","23688","23688","1","1","1","43536","43536","43536","1","1","1","23595","23595","23595","1","1","1"
"902","23690","23690","23690","1","1","1","43538","43538","43538","0.8","0.8","0.8","23597","23597","23597","1","1","1"
"903","23692","23692","23692","1","1","1","43540","43540","43540","1","1","1","23599","23599","23599","1","1","1"
"904","23694","23694","23694","1","1","1","43542","43542","43542","1","1","1","23601","23601","23601","1","1","1"
"905","23696","23696","23696","1","1","1","43544","43544","43544","1","1","1","23603","23603","23603","1","1","1"
"906","23698","23698","23698","1","1","1","43546","43546","43546","1","1","1","23605","23605","23605","1","1","1"
"907","23700","23700","23700","1","1","1","43548","43548","43548","1","1","1","23607","23607","23607","1","1","1"
"908","23702","23702","23702","1","1","1","43550","43550","43550","1","1","1","23609","23609","23609","1","1","1"
"909","23865","23865","23865","1","1","1","43867","43867","43867","0.8","0.8","0.8","23767","23767","23767","1","1","1"
"910","23867","23867","23867","1","1","1","43869","43869","43869","1","1","1","23769","23769","23769","1","1","1"
"911","23869","23869","23869","1","1","1","43871","43871","43871","0.8","0.8","0.8","23771","23771","23771","1","1","1"
"912","23871","23871","23871","1","1","1","43873","43873","43873","1","1","1","23773","23773","23773","1","1","1"
"913","23873","23873","23873","1","1","1","43875","43875","43875","1","1","1","23775","23775","23775","1","1","1"
"914","23875","23875","23875","1","1","1","43877","43877","43877","1","1","1","23777","23777","23777","1","1","1"
"915","23877","23877","23877","1","1","1","43879","43879","43879","1","1","1","23779","23779","23779","1","1","1"
"916","23879","23879","23879","1","1","1","43881","43881","43881","1","1","1","23781","23781","23781","1","1","1"
"917","23881","23881","23881","1","1","1","43883","43883","43883","1","1","1","23783","23783","23783","1","1","1"
"918","24049","24049","24049","1","1","1","44199","44199","44199","0.8","0.8","0.8","23942","23942","23942","1","1","1"
"919","24051","24051","24051","1","1","1","44201","44201","44201","1","1","1","23944","23944","23944","1","1","1"
"920","24053","24053","24053","1","1","1","44203","44203","44203","1","1","1","23946","23946","23946","1","1","1"
"921","24055","24055","24055","0.8","0.8","0.8","44205","44205","44205","1","1","1","23948","23948","23948","1","1","1"
"922","24057","24057","24057","1","1","1","44207","44207","44207","1","1","1","23950","23950","23950","1","1","1"
"923","24059","24059","24059","1","1","1","44209","44209","44209","1","1","1","23952","23952","23952","1","1","1"
"924","24061","24061","24061","1","1","1","44211","44211","44211","1","1","1","23954","23954","23954","1","1","1"
"925","24063","24063","24063","1","1","1","44213","44213","44213","1","1","1","23956","23956","23956","1","1","1"
"926","24065","24065","24065","1","1","1","44215","44215","44215","1","1","1","23958","23958","23958","1","1","1"
"927","24227","24227","24227","0.8","0.8","0.8","44531","44531","44531","0.8","0.8","0.8","24122","24122","24122","1","1","1"
"928","24229","24229","24229","1","1","1","44533","44533","44533","0.8","0.8","0.8","24124","24124","24124","1","1","1"
"929","24231","24231","24231","0.8","0.8","0.8","44535","44535","44535","0.8","0.8","0.8","24126","24126","24126","1","1","1"
"930","24233","24233","24233","1","1","1","44537","44537","44537","1","1","1","24128","24128","24128","1","1","1"
"931","24235","24235","24235","1","1","1","44539","44539","44539","1","1","1","24130","24130","24130","1","1","1"
"932","24237","24237","24237","1","1","1","44541","44541","44541","1","1","1","24132","24132","24132","1","1","1"
"933","24239","24239","24239","1","1","1","44543","44543","44543","1","1","1","24134","24134","24134","1","1","1"
"934","24241","24241","24241","1","1","1","44545","44545","44545","1","1","1","24136","24136","24136","1","1","1"
"935","24243","24243","24243","1","1","1","44547","44547","44547","1","1","1","24138","24138","24138","1","1","1"
"936","24406","24406","24406","1","1","1","44864","44864","44864","0.8","0.8","0.8","24295","24295","24295","1","1","1"
"937","24408","24408","24408","1","1","1","44866","44866","44866","0.8","0.8","0.8","24297","24297","24297","1","1","1"
"938","24410","24410","24410","1","1","1","44868","44868","44868","1","1","1","24299","24299","24299","1","1","1"
"939","24412","24412","24412","1","1","1","44870","44870","44870","0.8","0.8","0.8","24301","24301","24301","1","1","1"
"940","24414","24414","24414","1","1","1","44872","44872","44872","1","1","1","24303","24303","24303","1","1","1"
"941","24416","24416","24416","1","1","1","44874","44874","44874","1","1","1","24305","24305","24305","1","1","1"
"942","24418","24418","24418","1","1","1","44876","44876","44876","0.8","0.8","0.8","24307","24307","24307","1","1","1"
"943","24420","24420","24420","1","1","1","44878","44878","44878","1","1","1","24309","24309","24309","1","1","1"
"944","24422","24422","24422","1","1","1","44880","44880","44880","1","1","1","24311","24311","24311","1","1","1"
"945","24587","24587","24587","0.8","0.8","0.8","45196","45196","45196","0.8","0.8","0.8","24471","24471","24471","1","1","1"
"946","24589","24589","24589","1","1","1","45198","45198","45198","0.8","0.8","0.8","24473","24473","24473","1","1","1"
"947","24591","24591","24591","1","1","1","45200","45200","45200","0.8","0.8","0.8","24475","24475","24475","1","1","1"
"948","24593","24593","24593","1","1","1","45202","45202","45202","1","1","1","24477","24477","24477","1","1","1"
"949","24595","24595","24595","1","1","1","45204","45204","45204","1","1","1","24479","24479","24479","1","1","1"
"950","24597","24597","24597","1","1","1","45206","45206","45206","1","1","1","24481","24481","24481","0.8","0.8","0.8"
"951","24599","24599","24599","1","1","1","45208","45208","45208","0.8","0.8","0.8","24483","24483","24483","1","1","1"
"952","24601","24601","24601","1","1","1","45210","45210","45210","1","1","1","24485","24485","24485","1","1","1"
"953","24603","24603","24603","1","1","1","45212","45212","45212","1","1","1","24487","24487","24487","1","1","1"
"954","24762","24762","24762","1","1","1","45528","45528","45528","0.8","0.8","0.8","24647","24647","24647","0.8","0.8","0.8"
"955","24764","24764","24764","1","1","1","45530","45530","45530","1","1","1","24649","24649","24649","1","1","1"
"956","24766","24766","24766","1","1","1","45532","45532","45532","0.8","0.8","0.8","24651","24651","24651","1","1","1"
