"Evaluate/step_episode","2_rainbowepsilon_2024-12-19_00-27-24 - _step","2_rainbowepsilon_2024-12-19_00-27-24 - _step__MIN","2_rainbowepsilon_2024-12-19_00-27-24 - _step__MAX","2_rainbowepsilon_2024-12-19_00-27-24 - Evaluate/EpProgress","2_rainbowepsilon_2024-12-19_00-27-24 - Evaluate/EpProgress__MIN","2_rainbowepsilon_2024-12-19_00-27-24 - Evaluate/EpProgress__MAX","15_rainbowepsilon_2024-12-16_00-15-51 - _step","15_rainbowepsilon_2024-12-16_00-15-51 - _step__MIN","15_rainbowepsilon_2024-12-16_00-15-51 - _step__MAX","15_rainbowepsilon_2024-12-16_00-15-51 - Evaluate/EpProgress","15_rainbowepsilon_2024-12-16_00-15-51 - Evaluate/EpProgress__MIN","15_rainbowepsilon_2024-12-16_00-15-51 - Evaluate/EpProgress__MAX","10_rainbowepsilon_2024-12-15_02-47-52 - _step","10_rainbowepsilon_2024-12-15_02-47-52 - _step__MIN","10_rainbowepsilon_2024-12-15_02-47-52 - _step__MAX","10_rainbowepsilon_2024-12-15_02-47-52 - Evaluate/EpProgress","10_rainbowepsilon_2024-12-15_02-47-52 - Evaluate/EpProgress__MIN","10_rainbowepsilon_2024-12-15_02-47-52 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX"
"515","15669","15669","15669","1","1","1","13345","13345","13345","1","1","1","14004","14004","14004","1","1","1","16029","16029","16029","1","1","1"
"516","15671","15671","15671","1","1","1","13347","13347","13347","1","1","1","14006","14006","14006","1","1","1","16031","16031","16031","1","1","1"
"517","15673","15673","15673","1","1","1","13349","13349","13349","1","1","1","14008","14008","14008","1","1","1","16033","16033","16033","1","1","1"
"518","15675","15675","15675","1","1","1","13351","13351","13351","1","1","1","14010","14010","14010","1","1","1","16035","16035","16035","1","1","1"
"519","15677","15677","15677","1","1","1","13353","13353","13353","1","1","1","14012","14012","14012","1","1","1","16037","16037","16037","1","1","1"
"520","15679","15679","15679","1","1","1","13355","13355","13355","1","1","1","14014","14014","14014","1","1","1","16039","16039","16039","1","1","1"
"521","15681","15681","15681","1","1","1","13357","13357","13357","1","1","1","14016","14016","14016","0.8","0.8","0.8","16041","16041","16041","1","1","1"
"522","15840","15840","15840","1","1","1","13489","13489","13489","0.8","0.8","0.8","14153","14153","14153","0.8","0.8","0.8","16198","16198","16198","0.8","0.8","0.8"
"523","15842","15842","15842","1","1","1","13491","13491","13491","1","1","1","14155","14155","14155","1","1","1","16200","16200","16200","1","1","1"
"524","15844","15844","15844","1","1","1","13493","13493","13493","1","1","1","14157","14157","14157","1","1","1","16202","16202","16202","1","1","1"
"525","15846","15846","15846","1","1","1","13495","13495","13495","1","1","1","14159","14159","14159","1","1","1","16204","16204","16204","1","1","1"
"526","15848","15848","15848","1","1","1","13497","13497","13497","1","1","1","14161","14161","14161","1","1","1","16206","16206","16206","1","1","1"
"527","15850","15850","15850","1","1","1","13499","13499","13499","1","1","1","14163","14163","14163","1","1","1","16208","16208","16208","1","1","1"
"528","15852","15852","15852","1","1","1","13501","13501","13501","1","1","1","14165","14165","14165","1","1","1","16210","16210","16210","1","1","1"
"529","15854","15854","15854","1","1","1","13503","13503","13503","1","1","1","14167","14167","14167","1","1","1","16212","16212","16212","1","1","1"
"530","15856","15856","15856","1","1","1","13505","13505","13505","1","1","1","14169","14169","14169","1","1","1","16214","16214","16214","1","1","1"
"531","16018","16018","16018","1","1","1","13636","13636","13636","0.8","0.8","0.8","14307","14307","14307","0.8","0.8","0.8","16374","16374","16374","0.8","0.8","0.8"
"532","16020","16020","16020","1","1","1","13638","13638","13638","1","1","1","14309","14309","14309","1","1","1","16376","16376","16376","1","1","1"
"533","16022","16022","16022","1","1","1","13640","13640","13640","0.8","0.8","0.8","14311","14311","14311","1","1","1","16378","16378","16378","1","1","1"
"534","16024","16024","16024","1","1","1","13642","13642","13642","1","1","1","14313","14313","14313","1","1","1","16380","16380","16380","1","1","1"
"535","16026","16026","16026","1","1","1","13644","13644","13644","1","1","1","14315","14315","14315","1","1","1","16382","16382","16382","1","1","1"
"536","16028","16028","16028","1","1","1","13646","13646","13646","1","1","1","14317","14317","14317","1","1","1","16384","16384","16384","1","1","1"
"537","16030","16030","16030","1","1","1","13648","13648","13648","1","1","1","14319","14319","14319","1","1","1","16386","16386","16386","1","1","1"
"538","16032","16032","16032","1","1","1","13650","13650","13650","1","1","1","14321","14321","14321","1","1","1","16388","16388","16388","1","1","1"
"539","16034","16034","16034","1","1","1","13652","13652","13652","1","1","1","14323","14323","14323","1","1","1","16390","16390","16390","1","1","1"
"540","16193","16193","16193","1","1","1","13782","13782","13782","0.8","0.8","0.8","14464","14464","14464","0.8","0.8","0.8","16551","16551","16551","0.8","0.8","0.8"
"541","16195","16195","16195","1","1","1","13784","13784","13784","1","1","1","14466","14466","14466","1","1","1","16553","16553","16553","1","1","1"
"542","16197","16197","16197","1","1","1","13786","13786","13786","1","1","1","14468","14468","14468","1","1","1","16555","16555","16555","1","1","1"
"543","16199","16199","16199","1","1","1","13788","13788","13788","1","1","1","14470","14470","14470","1","1","1","16557","16557","16557","0.8","0.8","0.8"
"544","16201","16201","16201","1","1","1","13790","13790","13790","1","1","1","14472","14472","14472","1","1","1","16559","16559","16559","1","1","1"
"545","16203","16203","16203","1","1","1","13792","13792","13792","1","1","1","14474","14474","14474","1","1","1","16561","16561","16561","1","1","1"
"546","16205","16205","16205","1","1","1","13794","13794","13794","1","1","1","14476","14476","14476","1","1","1","16563","16563","16563","1","1","1"
"547","16207","16207","16207","1","1","1","13796","13796","13796","1","1","1","14478","14478","14478","1","1","1","16565","16565","16565","1","1","1"
"548","16209","16209","16209","1","1","1","13798","13798","13798","1","1","1","14480","14480","14480","1","1","1","16567","16567","16567","1","1","1"
"549","16371","16371","16371","1","1","1","13931","13931","13931","0.8","0.8","0.8","14624","14624","14624","0.8","0.8","0.8","16725","16725","16725","0.8","0.8","0.8"
"550","16373","16373","16373","1","1","1","13933","13933","13933","1","1","1","14626","14626","14626","0.8","0.8","0.8","16727","16727","16727","1","1","1"
"551","16375","16375","16375","1","1","1","13935","13935","13935","1","1","1","14628","14628","14628","0.8","0.8","0.8","16729","16729","16729","1","1","1"
"552","16377","16377","16377","1","1","1","13937","13937","13937","1","1","1","14630","14630","14630","1","1","1","16731","16731","16731","1","1","1"
"553","16379","16379","16379","1","1","1","13939","13939","13939","1","1","1","14632","14632","14632","1","1","1","16733","16733","16733","1","1","1"
"554","16381","16381","16381","1","1","1","13941","13941","13941","1","1","1","14634","14634","14634","1","1","1","16735","16735","16735","1","1","1"
"555","16383","16383","16383","1","1","1","13943","13943","13943","1","1","1","14636","14636","14636","1","1","1","16737","16737","16737","1","1","1"
"556","16385","16385","16385","1","1","1","13945","13945","13945","1","1","1","14638","14638","14638","1","1","1","16739","16739","16739","1","1","1"
"557","16387","16387","16387","1","1","1","13947","13947","13947","1","1","1","14640","14640","14640","1","1","1","16741","16741","16741","1","1","1"
"558","16548","16548","16548","1","1","1","14081","14081","14081","0.8","0.8","0.8","14779","14779","14779","0.8","0.8","0.8","16900","16900","16900","1","1","1"
"559","16550","16550","16550","1","1","1","14083","14083","14083","1","1","1","14781","14781","14781","0.8","0.8","0.8","16902","16902","16902","1","1","1"
"560","16552","16552","16552","1","1","1","14085","14085","14085","1","1","1","14783","14783","14783","1","1","1","16904","16904","16904","1","1","1"
"561","16554","16554","16554","1","1","1","14087","14087","14087","1","1","1","14785","14785","14785","1","1","1","16906","16906","16906","1","1","1"
"562","16556","16556","16556","1","1","1","14089","14089","14089","1","1","1","14787","14787","14787","0.8","0.8","0.8","16908","16908","16908","1","1","1"
"563","16558","16558","16558","1","1","1","14091","14091","14091","1","1","1","14789","14789","14789","1","1","1","16910","16910","16910","1","1","1"
"564","16560","16560","16560","1","1","1","14093","14093","14093","1","1","1","14791","14791","14791","1","1","1","16912","16912","16912","1","1","1"
"565","16562","16562","16562","1","1","1","14095","14095","14095","1","1","1","14793","14793","14793","1","1","1","16914","16914","16914","1","1","1"
"566","16564","16564","16564","1","1","1","14097","14097","14097","1","1","1","14795","14795","14795","1","1","1","16916","16916","16916","1","1","1"
"567","16724","16724","16724","0.8","0.8","0.8","14228","14228","14228","0.8","0.8","0.8","14939","14939","14939","0.8","0.8","0.8","17075","17075","17075","1","1","1"
"568","16726","16726","16726","1","1","1","14230","14230","14230","1","1","1","14941","14941","14941","1","1","1","17077","17077","17077","1","1","1"
"569","16728","16728","16728","1","1","1","14232","14232","14232","1","1","1","14943","14943","14943","1","1","1","17079","17079","17079","1","1","1"
"570","16730","16730","16730","1","1","1","14234","14234","14234","1","1","1","14945","14945","14945","1","1","1","17081","17081","17081","1","1","1"
"571","16732","16732","16732","1","1","1","14236","14236","14236","1","1","1","14947","14947","14947","1","1","1","17083","17083","17083","1","1","1"
"572","16734","16734","16734","1","1","1","14238","14238","14238","1","1","1","14949","14949","14949","1","1","1","17085","17085","17085","1","1","1"
"573","16736","16736","16736","1","1","1","14240","14240","14240","1","1","1","14951","14951","14951","0.8","0.8","0.8","17087","17087","17087","1","1","1"
"574","16738","16738","16738","1","1","1","14242","14242","14242","1","1","1","14953","14953","14953","1","1","1","17089","17089","17089","1","1","1"
"575","16740","16740","16740","1","1","1","14244","14244","14244","1","1","1","14955","14955","14955","1","1","1","17091","17091","17091","1","1","1"
"576","16900","16900","16900","1","1","1","14378","14378","14378","0.8","0.8","0.8","15092","15092","15092","0.8","0.8","0.8","17251","17251","17251","0.8","0.8","0.8"
"577","16902","16902","16902","1","1","1","14380","14380","14380","1","1","1","15094","15094","15094","1","1","1","17253","17253","17253","1","1","1"
"578","16904","16904","16904","1","1","1","14382","14382","14382","1","1","1","15096","15096","15096","1","1","1","17255","17255","17255","1","1","1"
"579","16906","16906","16906","1","1","1","14384","14384","14384","1","1","1","15098","15098","15098","1","1","1","17257","17257","17257","1","1","1"
"580","16908","16908","16908","1","1","1","14386","14386","14386","1","1","1","15100","15100","15100","1","1","1","17259","17259","17259","1","1","1"
"581","16910","16910","16910","1","1","1","14388","14388","14388","1","1","1","15102","15102","15102","1","1","1","17261","17261","17261","1","1","1"
"582","16912","16912","16912","1","1","1","14390","14390","14390","1","1","1","15104","15104","15104","1","1","1","17263","17263","17263","1","1","1"
"583","16914","16914","16914","1","1","1","14392","14392","14392","1","1","1","15106","15106","15106","0.9","0.9","0.9","17265","17265","17265","1","1","1"
"584","16916","16916","16916","1","1","1","14394","14394","14394","1","1","1","15108","15108","15108","1","1","1","17267","17267","17267","1","1","1"
"585","17075","17075","17075","1","1","1","14523","14523","14523","0.8","0.8","0.8","15246","15246","15246","0.8","0.8","0.8","17425","17425","17425","0.8","0.8","0.8"
"586","17077","17077","17077","1","1","1","14525","14525","14525","1","1","1","15248","15248","15248","1","1","1","17427","17427","17427","1","1","1"
"587","17079","17079","17079","1","1","1","14527","14527","14527","1","1","1","15250","15250","15250","1","1","1","17429","17429","17429","1","1","1"
"588","17081","17081","17081","1","1","1","14529","14529","14529","1","1","1","15252","15252","15252","1","1","1","17431","17431","17431","1","1","1"
"589","17083","17083","17083","1","1","1","14531","14531","14531","1","1","1","15254","15254","15254","1","1","1","17433","17433","17433","1","1","1"
"590","17085","17085","17085","1","1","1","14533","14533","14533","1","1","1","15256","15256","15256","1","1","1","17435","17435","17435","1","1","1"
"591","17087","17087","17087","1","1","1","14535","14535","14535","1","1","1","15258","15258","15258","1","1","1","17437","17437","17437","1","1","1"
"592","17089","17089","17089","1","1","1","14537","14537","14537","1","1","1","15260","15260","15260","1","1","1","17439","17439","17439","1","1","1"
"593","17091","17091","17091","1","1","1","14539","14539","14539","1","1","1","15262","15262","15262","1","1","1","17441","17441","17441","1","1","1"
"594","17251","17251","17251","1","1","1","14671","14671","14671","0.8","0.8","0.8","15401","15401","15401","0.8","0.8","0.8","17598","17598","17598","0.8","0.8","0.8"
"595","17253","17253","17253","1","1","1","14673","14673","14673","1","1","1","15403","15403","15403","1","1","1","17600","17600","17600","1","1","1"
"596","17255","17255","17255","1","1","1","14675","14675","14675","1","1","1","15405","15405","15405","1","1","1","17602","17602","17602","1","1","1"
"597","17257","17257","17257","1","1","1","14677","14677","14677","1","1","1","15407","15407","15407","1","1","1","17604","17604","17604","1","1","1"
"598","17259","17259","17259","1","1","1","14679","14679","14679","1","1","1","15409","15409","15409","1","1","1","17606","17606","17606","1","1","1"
"599","17261","17261","17261","1","1","1","14681","14681","14681","1","1","1","15411","15411","15411","1","1","1","17608","17608","17608","1","1","1"
"600","17263","17263","17263","1","1","1","14683","14683","14683","1","1","1","15413","15413","15413","1","1","1","17610","17610","17610","1","1","1"
"601","17265","17265","17265","1","1","1","14685","14685","14685","1","1","1","15415","15415","15415","1","1","1","17612","17612","17612","1","1","1"
"602","17267","17267","17267","1","1","1","14687","14687","14687","1","1","1","15417","15417","15417","1","1","1","17614","17614","17614","1","1","1"
"603","17426","17426","17426","0.8","0.8","0.8","14820","14820","14820","0.8","0.8","0.8","15557","15557","15557","0.8","0.8","0.8","17772","17772","17772","1","1","1"
"604","17428","17428","17428","1","1","1","14822","14822","14822","1","1","1","15559","15559","15559","1","1","1","17774","17774","17774","1","1","1"
"605","17430","17430","17430","1","1","1","14824","14824","14824","1","1","1","15561","15561","15561","1","1","1","17776","17776","17776","1","1","1"
"606","17432","17432","17432","1","1","1","14826","14826","14826","1","1","1","15563","15563","15563","1","1","1","17778","17778","17778","1","1","1"
"607","17434","17434","17434","1","1","1","14828","14828","14828","1","1","1","15565","15565","15565","1","1","1","17780","17780","17780","1","1","1"
"608","17436","17436","17436","1","1","1","14830","14830","14830","1","1","1","15567","15567","15567","1","1","1","17782","17782","17782","1","1","1"
"609","17438","17438","17438","1","1","1","14832","14832","14832","1","1","1","15569","15569","15569","1","1","1","17784","17784","17784","1","1","1"
"610","17440","17440","17440","1","1","1","14834","14834","14834","1","1","1","15571","15571","15571","1","1","1","17786","17786","17786","1","1","1"
"611","17442","17442","17442","1","1","1","14836","14836","14836","1","1","1","15573","15573","15573","1","1","1","17788","17788","17788","1","1","1"
"612","17599","17599","17599","1","1","1","14966","14966","14966","0.8","0.8","0.8","15710","15710","15710","0.8","0.8","0.8","17952","17952","17952","0.9","0.9","0.9"
"613","17601","17601","17601","1","1","1","14968","14968","14968","1","1","1","15712","15712","15712","1","1","1","17954","17954","17954","1","1","1"
"614","17603","17603","17603","1","1","1","14970","14970","14970","1","1","1","15714","15714","15714","1","1","1","17956","17956","17956","1","1","1"
"615","17605","17605","17605","1","1","1","14972","14972","14972","1","1","1","15716","15716","15716","1","1","1","17958","17958","17958","1","1","1"
"616","17607","17607","17607","1","1","1","14974","14974","14974","1","1","1","15718","15718","15718","1","1","1","17960","17960","17960","1","1","1"
"617","17609","17609","17609","1","1","1","14976","14976","14976","1","1","1","15720","15720","15720","1","1","1","17962","17962","17962","1","1","1"
"618","17611","17611","17611","1","1","1","14978","14978","14978","1","1","1","15722","15722","15722","1","1","1","17964","17964","17964","1","1","1"
"619","17613","17613","17613","1","1","1","14980","14980","14980","1","1","1","15724","15724","15724","1","1","1","17966","17966","17966","1","1","1"
"620","17615","17615","17615","1","1","1","14982","14982","14982","1","1","1","15726","15726","15726","1","1","1","17968","17968","17968","1","1","1"
"621","17774","17774","17774","1","1","1","15112","15112","15112","0.8","0.8","0.8","15864","15864","15864","0.8","0.8","0.8","18130","18130","18130","1","1","1"
"622","17776","17776","17776","1","1","1","15114","15114","15114","1","1","1","15866","15866","15866","1","1","1","18132","18132","18132","1","1","1"
"623","17778","17778","17778","1","1","1","15116","15116","15116","1","1","1","15868","15868","15868","1","1","1","18134","18134","18134","1","1","1"
"624","17780","17780","17780","1","1","1","15118","15118","15118","1","1","1","15870","15870","15870","1","1","1","18136","18136","18136","1","1","1"
"625","17782","17782","17782","1","1","1","15120","15120","15120","1","1","1","15872","15872","15872","1","1","1","18138","18138","18138","1","1","1"
"626","17784","17784","17784","1","1","1","15122","15122","15122","1","1","1","15874","15874","15874","1","1","1","18140","18140","18140","1","1","1"
"627","17786","17786","17786","1","1","1","15124","15124","15124","1","1","1","15876","15876","15876","1","1","1","18142","18142","18142","1","1","1"
"628","17788","17788","17788","1","1","1","15126","15126","15126","1","1","1","15878","15878","15878","1","1","1","18144","18144","18144","1","1","1"
"629","17790","17790","17790","1","1","1","15128","15128","15128","1","1","1","15880","15880","15880","1","1","1","18146","18146","18146","1","1","1"
"630","17952","17952","17952","0.8","0.8","0.8","15257","15257","15257","0.8","0.8","0.8","16023","16023","16023","0.8","0.8","0.8","18306","18306","18306","1","1","1"
"631","17954","17954","17954","1","1","1","15259","15259","15259","1","1","1","16025","16025","16025","1","1","1","18308","18308","18308","1","1","1"
"632","17956","17956","17956","1","1","1","15261","15261","15261","1","1","1","16027","16027","16027","1","1","1","18310","18310","18310","1","1","1"
"633","17958","17958","17958","1","1","1","15263","15263","15263","1","1","1","16029","16029","16029","1","1","1","18312","18312","18312","1","1","1"
"634","17960","17960","17960","1","1","1","15265","15265","15265","1","1","1","16031","16031","16031","1","1","1","18314","18314","18314","1","1","1"
"635","17962","17962","17962","1","1","1","15267","15267","15267","1","1","1","16033","16033","16033","1","1","1","18316","18316","18316","1","1","1"
"636","17964","17964","17964","1","1","1","15269","15269","15269","1","1","1","16035","16035","16035","1","1","1","18318","18318","18318","1","1","1"
"637","17966","17966","17966","0.8","0.8","0.8","15271","15271","15271","1","1","1","16037","16037","16037","1","1","1","18320","18320","18320","1","1","1"
"638","17968","17968","17968","1","1","1","15273","15273","15273","1","1","1","16039","16039","16039","1","1","1","18322","18322","18322","1","1","1"
"639","18126","18126","18126","1","1","1","15407","15407","15407","0.8","0.8","0.8","16179","16179","16179","0.8","0.8","0.8","18483","18483","18483","1","1","1"
"640","18128","18128","18128","1","1","1","15409","15409","15409","1","1","1","16181","16181","16181","1","1","1","18485","18485","18485","1","1","1"
"641","18130","18130","18130","1","1","1","15411","15411","15411","1","1","1","16183","16183","16183","1","1","1","18487","18487","18487","1","1","1"
"642","18132","18132","18132","1","1","1","15413","15413","15413","1","1","1","16185","16185","16185","1","1","1","18489","18489","18489","1","1","1"
"643","18134","18134","18134","1","1","1","15415","15415","15415","1","1","1","16187","16187","16187","1","1","1","18491","18491","18491","1","1","1"
"644","18136","18136","18136","1","1","1","15417","15417","15417","1","1","1","16189","16189","16189","1","1","1","18493","18493","18493","1","1","1"
"645","18138","18138","18138","1","1","1","15419","15419","15419","1","1","1","16191","16191","16191","1","1","1","18495","18495","18495","1","1","1"
"646","18140","18140","18140","1","1","1","15421","15421","15421","1","1","1","16193","16193","16193","1","1","1","18497","18497","18497","1","1","1"
"647","18142","18142","18142","1","1","1","15423","15423","15423","1","1","1","16195","16195","16195","1","1","1","18499","18499","18499","1","1","1"
"648","18300","18300","18300","1","1","1","15556","15556","15556","0.8","0.8","0.8","16336","16336","16336","0.8","0.8","0.8","18661","18661","18661","0.8","0.8","0.8"
"649","18302","18302","18302","1","1","1","15558","15558","15558","1","1","1","16338","16338","16338","0.8","0.8","0.8","18663","18663","18663","1","1","1"
"650","18304","18304","18304","1","1","1","15560","15560","15560","1","1","1","16340","16340","16340","0.8","0.8","0.8","18665","18665","18665","1","1","1"
"651","18306","18306","18306","1","1","1","15562","15562","15562","1","1","1","16342","16342","16342","0.8","0.8","0.8","18667","18667","18667","1","1","1"
"652","18308","18308","18308","1","1","1","15564","15564","15564","1","1","1","16344","16344","16344","1","1","1","18669","18669","18669","1","1","1"
"653","18310","18310","18310","1","1","1","15566","15566","15566","1","1","1","16346","16346","16346","1","1","1","18671","18671","18671","1","1","1"
"654","18312","18312","18312","1","1","1","15568","15568","15568","1","1","1","16348","16348","16348","1","1","1","18673","18673","18673","1","1","1"
"655","18314","18314","18314","1","1","1","15570","15570","15570","1","1","1","16350","16350","16350","1","1","1","18675","18675","18675","1","1","1"
"656","18316","18316","18316","1","1","1","15572","15572","15572","1","1","1","16352","16352","16352","1","1","1","18677","18677","18677","1","1","1"
"657","18481","18481","18481","1","1","1","15702","15702","15702","0.8","0.8","0.8","16490","16490","16490","0.8","0.8","0.8","18839","18839","18839","1","1","1"
"658","18483","18483","18483","1","1","1","15704","15704","15704","1","1","1","16492","16492","16492","1","1","1","18841","18841","18841","1","1","1"
"659","18485","18485","18485","1","1","1","15706","15706","15706","1","1","1","16494","16494","16494","1","1","1","18843","18843","18843","1","1","1"
"660","18487","18487","18487","1","1","1","15708","15708","15708","1","1","1","16496","16496","16496","1","1","1","18845","18845","18845","1","1","1"
"661","18489","18489","18489","1","1","1","15710","15710","15710","1","1","1","16498","16498","16498","1","1","1","18847","18847","18847","1","1","1"
"662","18491","18491","18491","0.8","0.8","0.8","15712","15712","15712","1","1","1","16500","16500","16500","1","1","1","18849","18849","18849","1","1","1"
"663","18493","18493","18493","1","1","1","15714","15714","15714","1","1","1","16502","16502","16502","1","1","1","18851","18851","18851","1","1","1"
"664","18495","18495","18495","1","1","1","15716","15716","15716","1","1","1","16504","16504","16504","1","1","1","18853","18853","18853","1","1","1"
"665","18497","18497","18497","0.9","0.9","0.9","15718","15718","15718","1","1","1","16506","16506","16506","1","1","1","18855","18855","18855","1","1","1"
"666","18658","18658","18658","1","1","1","15849","15849","15849","0.8","0.8","0.8","16643","16643","16643","0.8","0.8","0.8","19017","19017","19017","0.8","0.8","0.8"
"667","18660","18660","18660","1","1","1","15851","15851","15851","1","1","1","16645","16645","16645","1","1","1","19019","19019","19019","1","1","1"
"668","18662","18662","18662","1","1","1","15853","15853","15853","1","1","1","16647","16647","16647","1","1","1","19021","19021","19021","1","1","1"
"669","18664","18664","18664","1","1","1","15855","15855","15855","1","1","1","16649","16649","16649","1","1","1","19023","19023","19023","1","1","1"
"670","18666","18666","18666","1","1","1","15857","15857","15857","1","1","1","16651","16651","16651","1","1","1","19025","19025","19025","1","1","1"
"671","18668","18668","18668","1","1","1","15859","15859","15859","1","1","1","16653","16653","16653","1","1","1","19027","19027","19027","1","1","1"
"672","18670","18670","18670","1","1","1","15861","15861","15861","1","1","1","16655","16655","16655","1","1","1","19029","19029","19029","1","1","1"
"673","18672","18672","18672","1","1","1","15863","15863","15863","1","1","1","16657","16657","16657","1","1","1","19031","19031","19031","1","1","1"
"674","18674","18674","18674","1","1","1","15865","15865","15865","1","1","1","16659","16659","16659","1","1","1","19033","19033","19033","1","1","1"
"675","18835","18835","18835","1","1","1","15993","15993","15993","0.8","0.8","0.8","16795","16795","16795","0.8","0.8","0.8","19191","19191","19191","0.8","0.8","0.8"
"676","18837","18837","18837","1","1","1","15995","15995","15995","1","1","1","16797","16797","16797","1","1","1","19193","19193","19193","1","1","1"
"677","18839","18839","18839","1","1","1","15997","15997","15997","1","1","1","16799","16799","16799","1","1","1","19195","19195","19195","1","1","1"
"678","18841","18841","18841","1","1","1","15999","15999","15999","1","1","1","16801","16801","16801","1","1","1","19197","19197","19197","1","1","1"
"679","18843","18843","18843","1","1","1","16001","16001","16001","1","1","1","16803","16803","16803","1","1","1","19199","19199","19199","1","1","1"
"680","18845","18845","18845","1","1","1","16003","16003","16003","1","1","1","16805","16805","16805","1","1","1","19201","19201","19201","1","1","1"
"681","18847","18847","18847","1","1","1","16005","16005","16005","1","1","1","16807","16807","16807","1","1","1","19203","19203","19203","1","1","1"
"682","18849","18849","18849","1","1","1","16007","16007","16007","1","1","1","16809","16809","16809","1","1","1","19205","19205","19205","1","1","1"
"683","18851","18851","18851","0.9","0.9","0.9","16009","16009","16009","1","1","1","16811","16811","16811","1","1","1","19207","19207","19207","1","1","1"
"684","19014","19014","19014","1","1","1","16140","16140","16140","0.8","0.8","0.8","16949","16949","16949","0.8","0.8","0.8","19366","19366","19366","0.8","0.8","0.8"
"685","19016","19016","19016","1","1","1","16142","16142","16142","1","1","1","16951","16951","16951","1","1","1","19368","19368","19368","1","1","1"
"686","19018","19018","19018","1","1","1","16144","16144","16144","1","1","1","16953","16953","16953","1","1","1","19370","19370","19370","1","1","1"
"687","19020","19020","19020","1","1","1","16146","16146","16146","1","1","1","16955","16955","16955","1","1","1","19372","19372","19372","1","1","1"
"688","19022","19022","19022","1","1","1","16148","16148","16148","1","1","1","16957","16957","16957","1","1","1","19374","19374","19374","1","1","1"
"689","19024","19024","19024","1","1","1","16150","16150","16150","1","1","1","16959","16959","16959","1","1","1","19376","19376","19376","1","1","1"
"690","19026","19026","19026","1","1","1","16152","16152","16152","1","1","1","16961","16961","16961","1","1","1","19378","19378","19378","1","1","1"
"691","19028","19028","19028","1","1","1","16154","16154","16154","0.8","0.8","0.8","16963","16963","16963","1","1","1","19380","19380","19380","1","1","1"
"692","19030","19030","19030","0.9","0.9","0.9","16156","16156","16156","1","1","1","16965","16965","16965","1","1","1","19382","19382","19382","1","1","1"
"693","19188","19188","19188","0.8","0.8","0.8","16288","16288","16288","0.8","0.8","0.8","17104","17104","17104","0.8","0.8","0.8","19542","19542","19542","0.8","0.8","0.8"
"694","19190","19190","19190","1","1","1","16290","16290","16290","1","1","1","17106","17106","17106","1","1","1","19544","19544","19544","1","1","1"
"695","19192","19192","19192","1","1","1","16292","16292","16292","1","1","1","17108","17108","17108","1","1","1","19546","19546","19546","1","1","1"
"696","19194","19194","19194","1","1","1","16294","16294","16294","1","1","1","17110","17110","17110","1","1","1","19548","19548","19548","1","1","1"
"697","19196","19196","19196","1","1","1","16296","16296","16296","1","1","1","17112","17112","17112","1","1","1","19550","19550","19550","1","1","1"
"698","19198","19198","19198","1","1","1","16298","16298","16298","1","1","1","17114","17114","17114","1","1","1","19552","19552","19552","1","1","1"
"699","19200","19200","19200","1","1","1","16300","16300","16300","1","1","1","17116","17116","17116","1","1","1","19554","19554","19554","1","1","1"
"700","19202","19202","19202","1","1","1","16302","16302","16302","1","1","1","17118","17118","17118","1","1","1","19556","19556","19556","1","1","1"
"701","19204","19204","19204","1","1","1","16304","16304","16304","1","1","1","17120","17120","17120","1","1","1","19558","19558","19558","1","1","1"
"702","19363","19363","19363","1","1","1","16435","16435","16435","0.8","0.8","0.8","17260","17260","17260","0.8","0.8","0.8","19719","19719","19719","0.8","0.8","0.8"
"703","19365","19365","19365","1","1","1","16437","16437","16437","0.8","0.8","0.8","17262","17262","17262","1","1","1","19721","19721","19721","1","1","1"
"704","19367","19367","19367","1","1","1","16439","16439","16439","1","1","1","17264","17264","17264","1","1","1","19723","19723","19723","1","1","1"
"705","19369","19369","19369","1","1","1","16441","16441","16441","1","1","1","17266","17266","17266","1","1","1","19725","19725","19725","1","1","1"
"706","19371","19371","19371","1","1","1","16443","16443","16443","1","1","1","17268","17268","17268","1","1","1","19727","19727","19727","1","1","1"
"707","19373","19373","19373","1","1","1","16445","16445","16445","1","1","1","17270","17270","17270","1","1","1","19729","19729","19729","1","1","1"
"708","19375","19375","19375","1","1","1","16447","16447","16447","1","1","1","17272","17272","17272","1","1","1","19731","19731","19731","1","1","1"
"709","19377","19377","19377","1","1","1","16449","16449","16449","1","1","1","17274","17274","17274","1","1","1","19733","19733","19733","1","1","1"
"710","19379","19379","19379","1","1","1","16451","16451","16451","1","1","1","17276","17276","17276","1","1","1","19735","19735","19735","1","1","1"
