"Evaluate/step_episode","1e-5_rainbowepsilon_2024-12-19_12-45-13 - _step","1e-5_rainbowepsilon_2024-12-19_12-45-13 - _step__MIN","1e-5_rainbowepsilon_2024-12-19_12-45-13 - _step__MAX","1e-5_rainbowepsilon_2024-12-19_12-45-13 - Evaluate/EpProgress","1e-5_rainbowepsilon_2024-12-19_12-45-13 - Evaluate/EpProgress__MIN","1e-5_rainbowepsilon_2024-12-19_12-45-13 - Evaluate/EpProgress__MAX","le-3_rainbowepsilon_2024-12-18_13-26-06 - _step","le-3_rainbowepsilon_2024-12-18_13-26-06 - _step__MIN","le-3_rainbowepsilon_2024-12-18_13-26-06 - _step__MAX","le-3_rainbowepsilon_2024-12-18_13-26-06 - Evaluate/EpProgress","le-3_rainbowepsilon_2024-12-18_13-26-06 - Evaluate/EpProgress__MIN","le-3_rainbowepsilon_2024-12-18_13-26-06 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX"
"474","14794","14794","14794","1","1","1","14983","14983","14983","1","1","1","15150","15150","15150","1","1","1"
"475","14796","14796","14796","1","1","1","14985","14985","14985","1","1","1","15152","15152","15152","1","1","1"
"476","14798","14798","14798","1","1","1","14987","14987","14987","1","1","1","15154","15154","15154","1","1","1"
"477","14957","14957","14957","1","1","1","15151","15151","15151","0.8","0.8","0.8","15316","15316","15316","1","1","1"
"478","14959","14959","14959","1","1","1","15153","15153","15153","1","1","1","15318","15318","15318","1","1","1"
"479","14961","14961","14961","1","1","1","15155","15155","15155","0.8","0.8","0.8","15320","15320","15320","0.8","0.8","0.8"
"480","14963","14963","14963","1","1","1","15157","15157","15157","1","1","1","15322","15322","15322","1","1","1"
"481","14965","14965","14965","1","1","1","15159","15159","15159","1","1","1","15324","15324","15324","1","1","1"
"482","14967","14967","14967","1","1","1","15161","15161","15161","1","1","1","15326","15326","15326","1","1","1"
"483","14969","14969","14969","1","1","1","15163","15163","15163","1","1","1","15328","15328","15328","1","1","1"
"484","14971","14971","14971","1","1","1","15165","15165","15165","1","1","1","15330","15330","15330","0.8","0.8","0.8"
"485","14973","14973","14973","1","1","1","15167","15167","15167","1","1","1","15332","15332","15332","1","1","1"
"486","15132","15132","15132","1","1","1","15326","15326","15326","1","1","1","15497","15497","15497","0.8","0.8","0.8"
"487","15134","15134","15134","1","1","1","15328","15328","15328","1","1","1","15499","15499","15499","1","1","1"
"488","15136","15136","15136","1","1","1","15330","15330","15330","1","1","1","15501","15501","15501","1","1","1"
"489","15138","15138","15138","1","1","1","15332","15332","15332","1","1","1","15503","15503","15503","0.8","0.8","0.8"
"490","15140","15140","15140","1","1","1","15334","15334","15334","1","1","1","15505","15505","15505","1","1","1"
"491","15142","15142","15142","1","1","1","15336","15336","15336","1","1","1","15507","15507","15507","1","1","1"
"492","15144","15144","15144","1","1","1","15338","15338","15338","1","1","1","15509","15509","15509","1","1","1"
"493","15146","15146","15146","1","1","1","15340","15340","15340","1","1","1","15511","15511","15511","1","1","1"
"494","15148","15148","15148","1","1","1","15342","15342","15342","1","1","1","15513","15513","15513","1","1","1"
"495","15306","15306","15306","1","1","1","15505","15505","15505","1","1","1","15671","15671","15671","0.8","0.8","0.8"
"496","15308","15308","15308","1","1","1","15507","15507","15507","0.8","0.8","0.8","15673","15673","15673","1","1","1"
"497","15310","15310","15310","1","1","1","15509","15509","15509","0.8","0.8","0.8","15675","15675","15675","1","1","1"
"498","15312","15312","15312","1","1","1","15511","15511","15511","1","1","1","15677","15677","15677","1","1","1"
"499","15314","15314","15314","1","1","1","15513","15513","15513","1","1","1","15679","15679","15679","1","1","1"
"500","15316","15316","15316","1","1","1","15515","15515","15515","1","1","1","15681","15681","15681","1","1","1"
"501","15318","15318","15318","1","1","1","15517","15517","15517","1","1","1","15683","15683","15683","1","1","1"
"502","15320","15320","15320","1","1","1","15519","15519","15519","1","1","1","15685","15685","15685","1","1","1"
"503","15322","15322","15322","1","1","1","15521","15521","15521","1","1","1","15687","15687","15687","1","1","1"
"504","15481","15481","15481","1","1","1","15684","15684","15684","1","1","1","15850","15850","15850","1","1","1"
"505","15483","15483","15483","1","1","1","15686","15686","15686","1","1","1","15852","15852","15852","1","1","1"
"506","15485","15485","15485","0.8","0.8","0.8","15688","15688","15688","1","1","1","15854","15854","15854","1","1","1"
"507","15487","15487","15487","1","1","1","15690","15690","15690","1","1","1","15856","15856","15856","1","1","1"
"508","15489","15489","15489","0.8","0.8","0.8","15692","15692","15692","1","1","1","15858","15858","15858","1","1","1"
"509","15491","15491","15491","1","1","1","15694","15694","15694","1","1","1","15860","15860","15860","1","1","1"
"510","15493","15493","15493","1","1","1","15696","15696","15696","0.8","0.8","0.8","15862","15862","15862","1","1","1"
"511","15495","15495","15495","1","1","1","15698","15698","15698","1","1","1","15864","15864","15864","1","1","1"
"512","15497","15497","15497","1","1","1","15700","15700","15700","1","1","1","15866","15866","15866","1","1","1"
"513","15654","15654","15654","1","1","1","15858","15858","15858","0.8","0.8","0.8","16025","16025","16025","0.8","0.8","0.8"
"514","15656","15656","15656","1","1","1","15860","15860","15860","0.8","0.8","0.8","16027","16027","16027","1","1","1"
"515","15658","15658","15658","1","1","1","15862","15862","15862","0.8","0.8","0.8","16029","16029","16029","1","1","1"
"516","15660","15660","15660","1","1","1","15864","15864","15864","1","1","1","16031","16031","16031","1","1","1"
"517","15662","15662","15662","1","1","1","15866","15866","15866","1","1","1","16033","16033","16033","1","1","1"
"518","15664","15664","15664","1","1","1","15868","15868","15868","1","1","1","16035","16035","16035","1","1","1"
"519","15666","15666","15666","1","1","1","15870","15870","15870","1","1","1","16037","16037","16037","1","1","1"
"520","15668","15668","15668","1","1","1","15872","15872","15872","1","1","1","16039","16039","16039","1","1","1"
"521","15670","15670","15670","1","1","1","15874","15874","15874","1","1","1","16041","16041","16041","1","1","1"
"522","15829","15829","15829","1","1","1","16045","16045","16045","0.8","0.8","0.8","16198","16198","16198","0.8","0.8","0.8"
"523","15831","15831","15831","1","1","1","16047","16047","16047","0.8","0.8","0.8","16200","16200","16200","1","1","1"
"524","15833","15833","15833","1","1","1","16049","16049","16049","0.8","0.8","0.8","16202","16202","16202","1","1","1"
"525","15835","15835","15835","1","1","1","16051","16051","16051","1","1","1","16204","16204","16204","1","1","1"
"526","15837","15837","15837","1","1","1","16053","16053","16053","1","1","1","16206","16206","16206","1","1","1"
"527","15839","15839","15839","1","1","1","16055","16055","16055","1","1","1","16208","16208","16208","1","1","1"
"528","15841","15841","15841","1","1","1","16057","16057","16057","0.8","0.8","0.8","16210","16210","16210","1","1","1"
"529","15843","15843","15843","1","1","1","16059","16059","16059","1","1","1","16212","16212","16212","1","1","1"
"530","15845","15845","15845","1","1","1","16061","16061","16061","1","1","1","16214","16214","16214","1","1","1"
"531","16003","16003","16003","1","1","1","16233","16233","16233","0.8","0.8","0.8","16374","16374","16374","0.8","0.8","0.8"
"532","16005","16005","16005","1","1","1","16235","16235","16235","1","1","1","16376","16376","16376","1","1","1"
"533","16007","16007","16007","1","1","1","16237","16237","16237","0.8","0.8","0.8","16378","16378","16378","1","1","1"
"534","16009","16009","16009","1","1","1","16239","16239","16239","1","1","1","16380","16380","16380","1","1","1"
"535","16011","16011","16011","1","1","1","16241","16241","16241","1","1","1","16382","16382","16382","1","1","1"
"536","16013","16013","16013","1","1","1","16243","16243","16243","1","1","1","16384","16384","16384","1","1","1"
"537","16015","16015","16015","1","1","1","16245","16245","16245","1","1","1","16386","16386","16386","1","1","1"
"538","16017","16017","16017","1","1","1","16247","16247","16247","1","1","1","16388","16388","16388","1","1","1"
"539","16019","16019","16019","1","1","1","16249","16249","16249","1","1","1","16390","16390","16390","1","1","1"
"540","16180","16180","16180","1","1","1","16417","16417","16417","0.8","0.8","0.8","16551","16551","16551","0.8","0.8","0.8"
"541","16182","16182","16182","1","1","1","16419","16419","16419","0.8","0.8","0.8","16553","16553","16553","1","1","1"
"542","16184","16184","16184","1","1","1","16421","16421","16421","0.8","0.8","0.8","16555","16555","16555","1","1","1"
"543","16186","16186","16186","1","1","1","16423","16423","16423","1","1","1","16557","16557","16557","0.8","0.8","0.8"
"544","16188","16188","16188","1","1","1","16425","16425","16425","1","1","1","16559","16559","16559","1","1","1"
"545","16190","16190","16190","1","1","1","16427","16427","16427","1","1","1","16561","16561","16561","1","1","1"
"546","16192","16192","16192","1","1","1","16429","16429","16429","1","1","1","16563","16563","16563","1","1","1"
"547","16194","16194","16194","1","1","1","16431","16431","16431","1","1","1","16565","16565","16565","1","1","1"
"548","16196","16196","16196","1","1","1","16433","16433","16433","1","1","1","16567","16567","16567","1","1","1"
"549","16356","16356","16356","1","1","1","16602","16602","16602","1","1","1","16725","16725","16725","0.8","0.8","0.8"
"550","16358","16358","16358","1","1","1","16604","16604","16604","1","1","1","16727","16727","16727","1","1","1"
"551","16360","16360","16360","1","1","1","16606","16606","16606","0.8","0.8","0.8","16729","16729","16729","1","1","1"
"552","16362","16362","16362","1","1","1","16608","16608","16608","1","1","1","16731","16731","16731","1","1","1"
"553","16364","16364","16364","1","1","1","16610","16610","16610","1","1","1","16733","16733","16733","1","1","1"
"554","16366","16366","16366","1","1","1","16612","16612","16612","1","1","1","16735","16735","16735","1","1","1"
"555","16368","16368","16368","1","1","1","16614","16614","16614","1","1","1","16737","16737","16737","1","1","1"
"556","16370","16370","16370","1","1","1","16616","16616","16616","1","1","1","16739","16739","16739","1","1","1"
"557","16372","16372","16372","1","1","1","16618","16618","16618","1","1","1","16741","16741","16741","1","1","1"
"558","16531","16531","16531","1","1","1","16774","16774","16774","1","1","1","16900","16900","16900","1","1","1"
"559","16533","16533","16533","1","1","1","16776","16776","16776","1","1","1","16902","16902","16902","1","1","1"
"560","16535","16535","16535","1","1","1","16778","16778","16778","1","1","1","16904","16904","16904","1","1","1"
"561","16537","16537","16537","1","1","1","16780","16780","16780","1","1","1","16906","16906","16906","1","1","1"
"562","16539","16539","16539","1","1","1","16782","16782","16782","1","1","1","16908","16908","16908","1","1","1"
"563","16541","16541","16541","1","1","1","16784","16784","16784","1","1","1","16910","16910","16910","1","1","1"
"564","16543","16543","16543","1","1","1","16786","16786","16786","1","1","1","16912","16912","16912","1","1","1"
"565","16545","16545","16545","1","1","1","16788","16788","16788","1","1","1","16914","16914","16914","1","1","1"
"566","16547","16547","16547","1","1","1","16790","16790","16790","1","1","1","16916","16916","16916","1","1","1"
"567","16707","16707","16707","1","1","1","16956","16956","16956","0.8","0.8","0.8","17075","17075","17075","1","1","1"
"568","16709","16709","16709","1","1","1","16958","16958","16958","0.8","0.8","0.8","17077","17077","17077","1","1","1"
"569","16711","16711","16711","1","1","1","16960","16960","16960","0.8","0.8","0.8","17079","17079","17079","1","1","1"
"570","16713","16713","16713","1","1","1","16962","16962","16962","1","1","1","17081","17081","17081","1","1","1"
"571","16715","16715","16715","1","1","1","16964","16964","16964","1","1","1","17083","17083","17083","1","1","1"
"572","16717","16717","16717","1","1","1","16966","16966","16966","0.8","0.8","0.8","17085","17085","17085","1","1","1"
"573","16719","16719","16719","1","1","1","16968","16968","16968","0.8","0.8","0.8","17087","17087","17087","1","1","1"
"574","16721","16721","16721","1","1","1","16970","16970","16970","1","1","1","17089","17089","17089","1","1","1"
"575","16723","16723","16723","1","1","1","16972","16972","16972","1","1","1","17091","17091","17091","1","1","1"
"576","16880","16880","16880","1","1","1","17144","17144","17144","0.8","0.8","0.8","17251","17251","17251","0.8","0.8","0.8"
"577","16882","16882","16882","1","1","1","17146","17146","17146","0.8","0.8","0.8","17253","17253","17253","1","1","1"
"578","16884","16884","16884","1","1","1","17148","17148","17148","0.8","0.8","0.8","17255","17255","17255","1","1","1"
"579","16886","16886","16886","1","1","1","17150","17150","17150","1","1","1","17257","17257","17257","1","1","1"
"580","16888","16888","16888","0.8","0.8","0.8","17152","17152","17152","1","1","1","17259","17259","17259","1","1","1"
"581","16890","16890","16890","1","1","1","17154","17154","17154","1","1","1","17261","17261","17261","1","1","1"
"582","16892","16892","16892","1","1","1","17156","17156","17156","1","1","1","17263","17263","17263","1","1","1"
"583","16894","16894","16894","1","1","1","17158","17158","17158","1","1","1","17265","17265","17265","1","1","1"
"584","16896","16896","16896","1","1","1","17160","17160","17160","1","1","1","17267","17267","17267","1","1","1"
"585","17054","17054","17054","1","1","1","17341","17341","17341","0.8","0.8","0.8","17425","17425","17425","0.8","0.8","0.8"
"586","17056","17056","17056","1","1","1","17343","17343","17343","0.8","0.8","0.8","17427","17427","17427","1","1","1"
"587","17058","17058","17058","1","1","1","17345","17345","17345","0.8","0.8","0.8","17429","17429","17429","1","1","1"
"588","17060","17060","17060","1","1","1","17347","17347","17347","1","1","1","17431","17431","17431","1","1","1"
"589","17062","17062","17062","1","1","1","17349","17349","17349","1","1","1","17433","17433","17433","1","1","1"
"590","17064","17064","17064","1","1","1","17351","17351","17351","1","1","1","17435","17435","17435","1","1","1"
"591","17066","17066","17066","1","1","1","17353","17353","17353","0.8","0.8","0.8","17437","17437","17437","1","1","1"
"592","17068","17068","17068","1","1","1","17355","17355","17355","1","1","1","17439","17439","17439","1","1","1"
"593","17070","17070","17070","1","1","1","17357","17357","17357","1","1","1","17441","17441","17441","1","1","1"
"594","17232","17232","17232","1","1","1","17521","17521","17521","1","1","1","17598","17598","17598","0.8","0.8","0.8"
"595","17234","17234","17234","1","1","1","17523","17523","17523","0.8","0.8","0.8","17600","17600","17600","1","1","1"
"596","17236","17236","17236","1","1","1","17525","17525","17525","0.8","0.8","0.8","17602","17602","17602","1","1","1"
"597","17238","17238","17238","1","1","1","17527","17527","17527","1","1","1","17604","17604","17604","1","1","1"
"598","17240","17240","17240","1","1","1","17529","17529","17529","1","1","1","17606","17606","17606","1","1","1"
"599","17242","17242","17242","1","1","1","17531","17531","17531","1","1","1","17608","17608","17608","1","1","1"
"600","17244","17244","17244","1","1","1","17533","17533","17533","1","1","1","17610","17610","17610","1","1","1"
"601","17246","17246","17246","1","1","1","17535","17535","17535","1","1","1","17612","17612","17612","1","1","1"
"602","17248","17248","17248","1","1","1","17537","17537","17537","1","1","1","17614","17614","17614","1","1","1"
"603","17407","17407","17407","1","1","1","17700","17700","17700","1","1","1","17772","17772","17772","1","1","1"
"604","17409","17409","17409","1","1","1","17702","17702","17702","1","1","1","17774","17774","17774","1","1","1"
"605","17411","17411","17411","1","1","1","17704","17704","17704","0.8","0.8","0.8","17776","17776","17776","1","1","1"
"606","17413","17413","17413","1","1","1","17706","17706","17706","1","1","1","17778","17778","17778","1","1","1"
"607","17415","17415","17415","1","1","1","17708","17708","17708","1","1","1","17780","17780","17780","1","1","1"
"608","17417","17417","17417","1","1","1","17710","17710","17710","1","1","1","17782","17782","17782","1","1","1"
"609","17419","17419","17419","1","1","1","17712","17712","17712","1","1","1","17784","17784","17784","1","1","1"
"610","17421","17421","17421","1","1","1","17714","17714","17714","1","1","1","17786","17786","17786","1","1","1"
"611","17423","17423","17423","1","1","1","17716","17716","17716","1","1","1","17788","17788","17788","1","1","1"
"612","17581","17581","17581","1","1","1","17884","17884","17884","0.8","0.8","0.8","17952","17952","17952","0.9","0.9","0.9"
"613","17583","17583","17583","1","1","1","17886","17886","17886","0.8","0.8","0.8","17954","17954","17954","1","1","1"
"614","17585","17585","17585","1","1","1","17888","17888","17888","0.8","0.8","0.8","17956","17956","17956","1","1","1"
"615","17587","17587","17587","1","1","1","17890","17890","17890","1","1","1","17958","17958","17958","1","1","1"
"616","17589","17589","17589","1","1","1","17892","17892","17892","1","1","1","17960","17960","17960","1","1","1"
"617","17591","17591","17591","1","1","1","17894","17894","17894","1","1","1","17962","17962","17962","1","1","1"
"618","17593","17593","17593","1","1","1","17896","17896","17896","1","1","1","17964","17964","17964","1","1","1"
"619","17595","17595","17595","1","1","1","17898","17898","17898","1","1","1","17966","17966","17966","1","1","1"
"620","17597","17597","17597","1","1","1","17900","17900","17900","1","1","1","17968","17968","17968","1","1","1"
"621","17758","17758","17758","1","1","1","18070","18070","18070","1","1","1","18130","18130","18130","1","1","1"
"622","17760","17760","17760","1","1","1","18072","18072","18072","1","1","1","18132","18132","18132","1","1","1"
"623","17762","17762","17762","1","1","1","18074","18074","18074","0.8","0.8","0.8","18134","18134","18134","1","1","1"
"624","17764","17764","17764","1","1","1","18076","18076","18076","1","1","1","18136","18136","18136","1","1","1"
"625","17766","17766","17766","1","1","1","18078","18078","18078","1","1","1","18138","18138","18138","1","1","1"
"626","17768","17768","17768","1","1","1","18080","18080","18080","0.8","0.8","0.8","18140","18140","18140","1","1","1"
"627","17770","17770","17770","1","1","1","18082","18082","18082","1","1","1","18142","18142","18142","1","1","1"
"628","17772","17772","17772","1","1","1","18084","18084","18084","1","1","1","18144","18144","18144","1","1","1"
"629","17774","17774","17774","1","1","1","18086","18086","18086","1","1","1","18146","18146","18146","1","1","1"
"630","17936","17936","17936","1","1","1","18247","18247","18247","1","1","1","18306","18306","18306","1","1","1"
"631","17938","17938","17938","1","1","1","18249","18249","18249","1","1","1","18308","18308","18308","1","1","1"
"632","17940","17940","17940","1","1","1","18251","18251","18251","1","1","1","18310","18310","18310","1","1","1"
"633","17942","17942","17942","1","1","1","18253","18253","18253","1","1","1","18312","18312","18312","1","1","1"
"634","17944","17944","17944","1","1","1","18255","18255","18255","1","1","1","18314","18314","18314","1","1","1"
"635","17946","17946","17946","1","1","1","18257","18257","18257","1","1","1","18316","18316","18316","1","1","1"
"636","17948","17948","17948","1","1","1","18259","18259","18259","1","1","1","18318","18318","18318","1","1","1"
"637","17950","17950","17950","1","1","1","18261","18261","18261","1","1","1","18320","18320","18320","1","1","1"
"638","17952","17952","17952","1","1","1","18263","18263","18263","1","1","1","18322","18322","18322","1","1","1"
"639","18109","18109","18109","1","1","1","18420","18420","18420","1","1","1","18483","18483","18483","1","1","1"
"640","18111","18111","18111","1","1","1","18422","18422","18422","1","1","1","18485","18485","18485","1","1","1"
"641","18113","18113","18113","1","1","1","18424","18424","18424","1","1","1","18487","18487","18487","1","1","1"
"642","18115","18115","18115","1","1","1","18426","18426","18426","1","1","1","18489","18489","18489","1","1","1"
"643","18117","18117","18117","1","1","1","18428","18428","18428","1","1","1","18491","18491","18491","1","1","1"
"644","18119","18119","18119","1","1","1","18430","18430","18430","1","1","1","18493","18493","18493","1","1","1"
"645","18121","18121","18121","1","1","1","18432","18432","18432","1","1","1","18495","18495","18495","1","1","1"
"646","18123","18123","18123","1","1","1","18434","18434","18434","1","1","1","18497","18497","18497","1","1","1"
"647","18125","18125","18125","1","1","1","18436","18436","18436","1","1","1","18499","18499","18499","1","1","1"
"648","18285","18285","18285","1","1","1","18604","18604","18604","0.8","0.8","0.8","18661","18661","18661","0.8","0.8","0.8"
"649","18287","18287","18287","1","1","1","18606","18606","18606","1","1","1","18663","18663","18663","1","1","1"
"650","18289","18289","18289","1","1","1","18608","18608","18608","0.8","0.8","0.8","18665","18665","18665","1","1","1"
"651","18291","18291","18291","1","1","1","18610","18610","18610","1","1","1","18667","18667","18667","1","1","1"
"652","18293","18293","18293","1","1","1","18612","18612","18612","1","1","1","18669","18669","18669","1","1","1"
"653","18295","18295","18295","1","1","1","18614","18614","18614","1","1","1","18671","18671","18671","1","1","1"
"654","18297","18297","18297","1","1","1","18616","18616","18616","1","1","1","18673","18673","18673","1","1","1"
"655","18299","18299","18299","1","1","1","18618","18618","18618","1","1","1","18675","18675","18675","1","1","1"
"656","18301","18301","18301","1","1","1","18620","18620","18620","1","1","1","18677","18677","18677","1","1","1"
"657","18458","18458","18458","1","1","1","18786","18786","18786","0.8","0.8","0.8","18839","18839","18839","1","1","1"
"658","18460","18460","18460","1","1","1","18788","18788","18788","1","1","1","18841","18841","18841","1","1","1"
"659","18462","18462","18462","1","1","1","18790","18790","18790","1","1","1","18843","18843","18843","1","1","1"
"660","18464","18464","18464","1","1","1","18792","18792","18792","1","1","1","18845","18845","18845","1","1","1"
"661","18466","18466","18466","1","1","1","18794","18794","18794","1","1","1","18847","18847","18847","1","1","1"
"662","18468","18468","18468","1","1","1","18796","18796","18796","1","1","1","18849","18849","18849","1","1","1"
"663","18470","18470","18470","1","1","1","18798","18798","18798","1","1","1","18851","18851","18851","1","1","1"
"664","18472","18472","18472","1","1","1","18800","18800","18800","1","1","1","18853","18853","18853","1","1","1"
"665","18474","18474","18474","1","1","1","18802","18802","18802","1","1","1","18855","18855","18855","1","1","1"
"666","18632","18632","18632","1","1","1","18960","18960","18960","1","1","1","19017","19017","19017","0.8","0.8","0.8"
"667","18634","18634","18634","1","1","1","18962","18962","18962","1","1","1","19019","19019","19019","1","1","1"
"668","18636","18636","18636","1","1","1","18964","18964","18964","1","1","1","19021","19021","19021","1","1","1"
"669","18638","18638","18638","1","1","1","18966","18966","18966","1","1","1","19023","19023","19023","1","1","1"
"670","18640","18640","18640","1","1","1","18968","18968","18968","1","1","1","19025","19025","19025","1","1","1"
"671","18642","18642","18642","1","1","1","18970","18970","18970","0.8","0.8","0.8","19027","19027","19027","1","1","1"
"672","18644","18644","18644","1","1","1","18972","18972","18972","1","1","1","19029","19029","19029","1","1","1"
"673","18646","18646","18646","1","1","1","18974","18974","18974","1","1","1","19031","19031","19031","1","1","1"
"674","18648","18648","18648","1","1","1","18976","18976","18976","1","1","1","19033","19033","19033","1","1","1"
"675","18809","18809","18809","1","1","1","19133","19133","19133","1","1","1","19191","19191","19191","0.8","0.8","0.8"
"676","18811","18811","18811","1","1","1","19135","19135","19135","1","1","1","19193","19193","19193","1","1","1"
"677","18813","18813","18813","1","1","1","19137","19137","19137","1","1","1","19195","19195","19195","1","1","1"
"678","18815","18815","18815","1","1","1","19139","19139","19139","1","1","1","19197","19197","19197","1","1","1"
"679","18817","18817","18817","1","1","1","19141","19141","19141","1","1","1","19199","19199","19199","1","1","1"
"680","18819","18819","18819","1","1","1","19143","19143","19143","1","1","1","19201","19201","19201","1","1","1"
"681","18821","18821","18821","1","1","1","19145","19145","19145","1","1","1","19203","19203","19203","1","1","1"
"682","18823","18823","18823","1","1","1","19147","19147","19147","1","1","1","19205","19205","19205","1","1","1"
"683","18825","18825","18825","1","1","1","19149","19149","19149","1","1","1","19207","19207","19207","1","1","1"
"684","18985","18985","18985","1","1","1","19308","19308","19308","1","1","1","19366","19366","19366","0.8","0.8","0.8"
"685","18987","18987","18987","1","1","1","19310","19310","19310","1","1","1","19368","19368","19368","1","1","1"
"686","18989","18989","18989","1","1","1","19312","19312","19312","1","1","1","19370","19370","19370","1","1","1"
"687","18991","18991","18991","1","1","1","19314","19314","19314","1","1","1","19372","19372","19372","1","1","1"
"688","18993","18993","18993","1","1","1","19316","19316","19316","1","1","1","19374","19374","19374","1","1","1"
"689","18995","18995","18995","1","1","1","19318","19318","19318","1","1","1","19376","19376","19376","1","1","1"
"690","18997","18997","18997","1","1","1","19320","19320","19320","1","1","1","19378","19378","19378","1","1","1"
"691","18999","18999","18999","1","1","1","19322","19322","19322","1","1","1","19380","19380","19380","1","1","1"
"692","19001","19001","19001","1","1","1","19324","19324","19324","1","1","1","19382","19382","19382","1","1","1"
"693","19160","19160","19160","1","1","1","19482","19482","19482","1","1","1","19542","19542","19542","0.8","0.8","0.8"
"694","19162","19162","19162","1","1","1","19484","19484","19484","1","1","1","19544","19544","19544","1","1","1"
"695","19164","19164","19164","1","1","1","19486","19486","19486","1","1","1","19546","19546","19546","1","1","1"
"696","19166","19166","19166","1","1","1","19488","19488","19488","1","1","1","19548","19548","19548","1","1","1"
"697","19168","19168","19168","1","1","1","19490","19490","19490","1","1","1","19550","19550","19550","1","1","1"
"698","19170","19170","19170","1","1","1","19492","19492","19492","0.8","0.8","0.8","19552","19552","19552","1","1","1"
"699","19172","19172","19172","1","1","1","19494","19494","19494","1","1","1","19554","19554","19554","1","1","1"
"700","19174","19174","19174","1","1","1","19496","19496","19496","1","1","1","19556","19556","19556","1","1","1"
"701","19176","19176","19176","1","1","1","19498","19498","19498","1","1","1","19558","19558","19558","1","1","1"
"702","19338","19338","19338","1","1","1","19654","19654","19654","1","1","1","19719","19719","19719","0.8","0.8","0.8"
"703","19340","19340","19340","1","1","1","19656","19656","19656","1","1","1","19721","19721","19721","1","1","1"
"704","19342","19342","19342","1","1","1","19658","19658","19658","1","1","1","19723","19723","19723","1","1","1"
"705","19344","19344","19344","1","1","1","19660","19660","19660","1","1","1","19725","19725","19725","1","1","1"
"706","19346","19346","19346","1","1","1","19662","19662","19662","1","1","1","19727","19727","19727","1","1","1"
"707","19348","19348","19348","1","1","1","19664","19664","19664","1","1","1","19729","19729","19729","1","1","1"
"708","19350","19350","19350","1","1","1","19666","19666","19666","1","1","1","19731","19731","19731","1","1","1"
"709","19352","19352","19352","1","1","1","19668","19668","19668","1","1","1","19733","19733","19733","1","1","1"
"710","19354","19354","19354","1","1","1","19670","19670","19670","1","1","1","19735","19735","19735","1","1","1"
"711","19513","19513","19513","1","1","1","19830","19830","19830","1","1","1","19893","19893","19893","0.8","0.8","0.8"
"712","19515","19515","19515","1","1","1","19832","19832","19832","1","1","1","19895","19895","19895","1","1","1"
"713","19517","19517","19517","1","1","1","19834","19834","19834","1","1","1","19897","19897","19897","1","1","1"
"714","19519","19519","19519","1","1","1","19836","19836","19836","1","1","1","19899","19899","19899","1","1","1"
"715","19521","19521","19521","1","1","1","19838","19838","19838","1","1","1","19901","19901","19901","1","1","1"
"716","19523","19523","19523","1","1","1","19840","19840","19840","1","1","1","19903","19903","19903","1","1","1"
"717","19525","19525","19525","1","1","1","19842","19842","19842","1","1","1","19905","19905","19905","1","1","1"
"718","19527","19527","19527","1","1","1","19844","19844","19844","1","1","1","19907","19907","19907","1","1","1"
"719","19529","19529","19529","1","1","1","19846","19846","19846","1","1","1","19909","19909","19909","1","1","1"
"720","19689","19689","19689","1","1","1","20005","20005","20005","1","1","1","20071","20071","20071","0.8","0.8","0.8"
"721","19691","19691","19691","1","1","1","20007","20007","20007","1","1","1","20073","20073","20073","1","1","1"
"722","19693","19693","19693","1","1","1","20009","20009","20009","1","1","1","20075","20075","20075","1","1","1"
"723","19695","19695","19695","1","1","1","20011","20011","20011","1","1","1","20077","20077","20077","1","1","1"
"724","19697","19697","19697","1","1","1","20013","20013","20013","1","1","1","20079","20079","20079","1","1","1"
"725","19699","19699","19699","1","1","1","20015","20015","20015","1","1","1","20081","20081","20081","1","1","1"
"726","19701","19701","19701","1","1","1","20017","20017","20017","1","1","1","20083","20083","20083","1","1","1"
"727","19703","19703","19703","1","1","1","20019","20019","20019","1","1","1","20085","20085","20085","1","1","1"
"728","19705","19705","19705","1","1","1","20021","20021","20021","1","1","1","20087","20087","20087","1","1","1"
"729","19864","19864","19864","1","1","1","20179","20179","20179","1","1","1","20250","20250","20250","0.8","0.8","0.8"
"730","19866","19866","19866","1","1","1","20181","20181","20181","1","1","1","20252","20252","20252","1","1","1"
"731","19868","19868","19868","1","1","1","20183","20183","20183","1","1","1","20254","20254","20254","1","1","1"
"732","19870","19870","19870","1","1","1","20185","20185","20185","1","1","1","20256","20256","20256","1","1","1"
"733","19872","19872","19872","1","1","1","20187","20187","20187","1","1","1","20258","20258","20258","1","1","1"
"734","19874","19874","19874","1","1","1","20189","20189","20189","1","1","1","20260","20260","20260","1","1","1"
"735","19876","19876","19876","1","1","1","20191","20191","20191","1","1","1","20262","20262","20262","1","1","1"
