"Evaluate/step_episode","b256_rainbowepsilon_2024-12-17_13-08-41 - _step","b256_rainbowepsilon_2024-12-17_13-08-41 - _step__MIN","b256_rainbowepsilon_2024-12-17_13-08-41 - _step__MAX","b256_rainbowepsilon_2024-12-17_13-08-41 - Evaluate/EpProgress","b256_rainbowepsilon_2024-12-17_13-08-41 - Evaluate/EpProgress__MIN","b256_rainbowepsilon_2024-12-17_13-08-41 - Evaluate/EpProgress__MAX","b128_rainbowepsilon_2024-12-16_18-07-34 - _step","b128_rainbowepsilon_2024-12-16_18-07-34 - _step__MIN","b128_rainbowepsilon_2024-12-16_18-07-34 - _step__MAX","b128_rainbowepsilon_2024-12-16_18-07-34 - Evaluate/EpProgress","b128_rainbowepsilon_2024-12-16_18-07-34 - Evaluate/EpProgress__MIN","b128_rainbowepsilon_2024-12-16_18-07-34 - Evaluate/EpProgress__MAX","b64_rainbowepsilon_2024-12-16_00-29-47 - _step","b64_rainbowepsilon_2024-12-16_00-29-47 - _step__MIN","b64_rainbowepsilon_2024-12-16_00-29-47 - _step__MAX","b64_rainbowepsilon_2024-12-16_00-29-47 - Evaluate/EpProgress","b64_rainbowepsilon_2024-12-16_00-29-47 - Evaluate/EpProgress__MIN","b64_rainbowepsilon_2024-12-16_00-29-47 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX"
"317","11810","11810","11810","1","1","1","11842","11842","11842","1","1","1","11837","11837","11837","1","1","1","12116","12116","12116","1","1","1"
"318","11812","11812","11812","0.8","0.8","0.8","11844","11844","11844","1","1","1","11839","11839","11839","1","1","1","12118","12118","12118","1","1","1"
"319","11814","11814","11814","1","1","1","11846","11846","11846","1","1","1","11841","11841","11841","1","1","1","12120","12120","12120","1","1","1"
"320","11816","11816","11816","1","1","1","11848","11848","11848","1","1","1","11843","11843","11843","1","1","1","12122","12122","12122","1","1","1"
"321","11818","11818","11818","1","1","1","11850","11850","11850","1","1","1","11845","11845","11845","1","1","1","12124","12124","12124","1","1","1"
"322","11820","11820","11820","1","1","1","11852","11852","11852","1","1","1","11847","11847","11847","1","1","1","12126","12126","12126","1","1","1"
"323","11822","11822","11822","1","1","1","11854","11854","11854","1","1","1","11849","11849","11849","1","1","1","12128","12128","12128","1","1","1"
"324","11984","11984","11984","1","1","1","12017","12017","12017","0.8","0.8","0.8","12011","12011","12011","1","1","1","12287","12287","12287","1","1","1"
"325","11986","11986","11986","1","1","1","12019","12019","12019","1","1","1","12013","12013","12013","1","1","1","12289","12289","12289","1","1","1"
"326","11988","11988","11988","1","1","1","12021","12021","12021","1","1","1","12015","12015","12015","1","1","1","12291","12291","12291","1","1","1"
"327","11990","11990","11990","1","1","1","12023","12023","12023","1","1","1","12017","12017","12017","1","1","1","12293","12293","12293","1","1","1"
"328","11992","11992","11992","1","1","1","12025","12025","12025","1","1","1","12019","12019","12019","1","1","1","12295","12295","12295","1","1","1"
"329","11994","11994","11994","1","1","1","12027","12027","12027","1","1","1","12021","12021","12021","1","1","1","12297","12297","12297","1","1","1"
"330","11996","11996","11996","1","1","1","12029","12029","12029","1","1","1","12023","12023","12023","1","1","1","12299","12299","12299","1","1","1"
"331","11998","11998","11998","1","1","1","12031","12031","12031","1","1","1","12025","12025","12025","1","1","1","12301","12301","12301","1","1","1"
"332","12000","12000","12000","1","1","1","12033","12033","12033","1","1","1","12027","12027","12027","1","1","1","12303","12303","12303","1","1","1"
"333","12162","12162","12162","1","1","1","12194","12194","12194","0.8","0.8","0.8","12186","12186","12186","1","1","1","12463","12463","12463","0.8","0.8","0.8"
"334","12164","12164","12164","1","1","1","12196","12196","12196","1","1","1","12188","12188","12188","1","1","1","12465","12465","12465","1","1","1"
"335","12166","12166","12166","1","1","1","12198","12198","12198","1","1","1","12190","12190","12190","1","1","1","12467","12467","12467","1","1","1"
"336","12168","12168","12168","0.8","0.8","0.8","12200","12200","12200","1","1","1","12192","12192","12192","1","1","1","12469","12469","12469","1","1","1"
"337","12170","12170","12170","1","1","1","12202","12202","12202","1","1","1","12194","12194","12194","1","1","1","12471","12471","12471","1","1","1"
"338","12172","12172","12172","1","1","1","12204","12204","12204","1","1","1","12196","12196","12196","1","1","1","12473","12473","12473","1","1","1"
"339","12174","12174","12174","1","1","1","12206","12206","12206","1","1","1","12198","12198","12198","1","1","1","12475","12475","12475","1","1","1"
"340","12176","12176","12176","1","1","1","12208","12208","12208","1","1","1","12200","12200","12200","1","1","1","12477","12477","12477","1","1","1"
"341","12178","12178","12178","1","1","1","12210","12210","12210","1","1","1","12202","12202","12202","1","1","1","12479","12479","12479","1","1","1"
"342","12336","12336","12336","0.8","0.8","0.8","12370","12370","12370","0.8","0.8","0.8","12366","12366","12366","1","1","1","12641","12641","12641","0.8","0.8","0.8"
"343","12338","12338","12338","1","1","1","12372","12372","12372","1","1","1","12368","12368","12368","1","1","1","12643","12643","12643","1","1","1"
"344","12340","12340","12340","1","1","1","12374","12374","12374","1","1","1","12370","12370","12370","1","1","1","12645","12645","12645","1","1","1"
"345","12342","12342","12342","1","1","1","12376","12376","12376","1","1","1","12372","12372","12372","1","1","1","12647","12647","12647","0.8","0.8","0.8"
"346","12344","12344","12344","1","1","1","12378","12378","12378","1","1","1","12374","12374","12374","1","1","1","12649","12649","12649","1","1","1"
"347","12346","12346","12346","1","1","1","12380","12380","12380","1","1","1","12376","12376","12376","1","1","1","12651","12651","12651","1","1","1"
"348","12348","12348","12348","1","1","1","12382","12382","12382","1","1","1","12378","12378","12378","1","1","1","12653","12653","12653","1","1","1"
"349","12350","12350","12350","1","1","1","12384","12384","12384","1","1","1","12380","12380","12380","1","1","1","12655","12655","12655","1","1","1"
"350","12352","12352","12352","1","1","1","12386","12386","12386","1","1","1","12382","12382","12382","1","1","1","12657","12657","12657","1","1","1"
"351","12511","12511","12511","1","1","1","12547","12547","12547","1","1","1","12543","12543","12543","1","1","1","12822","12822","12822","0.8","0.8","0.8"
"352","12513","12513","12513","1","1","1","12549","12549","12549","1","1","1","12545","12545","12545","1","1","1","12824","12824","12824","1","1","1"
"353","12515","12515","12515","1","1","1","12551","12551","12551","1","1","1","12547","12547","12547","0.8","0.8","0.8","12826","12826","12826","0.8","0.8","0.8"
"354","12517","12517","12517","1","1","1","12553","12553","12553","0.9","0.9","0.9","12549","12549","12549","1","1","1","12828","12828","12828","1","1","1"
"355","12519","12519","12519","1","1","1","12555","12555","12555","1","1","1","12551","12551","12551","1","1","1","12830","12830","12830","1","1","1"
"356","12521","12521","12521","1","1","1","12557","12557","12557","1","1","1","12553","12553","12553","1","1","1","12832","12832","12832","1","1","1"
"357","12523","12523","12523","1","1","1","12559","12559","12559","1","1","1","12555","12555","12555","1","1","1","12834","12834","12834","1","1","1"
"358","12525","12525","12525","1","1","1","12561","12561","12561","1","1","1","12557","12557","12557","1","1","1","12836","12836","12836","1","1","1"
"359","12527","12527","12527","1","1","1","12563","12563","12563","1","1","1","12559","12559","12559","1","1","1","12838","12838","12838","1","1","1"
"360","12690","12690","12690","0.8","0.8","0.8","12721","12721","12721","1","1","1","12718","12718","12718","0.8","0.8","0.8","13002","13002","13002","0.8","0.8","0.8"
"361","12692","12692","12692","1","1","1","12723","12723","12723","1","1","1","12720","12720","12720","0.8","0.8","0.8","13004","13004","13004","1","1","1"
"362","12694","12694","12694","1","1","1","12725","12725","12725","1","1","1","12722","12722","12722","0.8","0.8","0.8","13006","13006","13006","1","1","1"
"363","12696","12696","12696","1","1","1","12727","12727","12727","1","1","1","12724","12724","12724","1","1","1","13008","13008","13008","0.8","0.8","0.8"
"364","12698","12698","12698","1","1","1","12729","12729","12729","1","1","1","12726","12726","12726","1","1","1","13010","13010","13010","0.8","0.8","0.8"
"365","12700","12700","12700","1","1","1","12731","12731","12731","1","1","1","12728","12728","12728","1","1","1","13012","13012","13012","1","1","1"
"366","12702","12702","12702","0.8","0.8","0.8","12733","12733","12733","1","1","1","12730","12730","12730","1","1","1","13014","13014","13014","1","1","1"
"367","12704","12704","12704","1","1","1","12735","12735","12735","1","1","1","12732","12732","12732","1","1","1","13016","13016","13016","1","1","1"
"368","12706","12706","12706","1","1","1","12737","12737","12737","1","1","1","12734","12734","12734","1","1","1","13018","13018","13018","1","1","1"
"369","12865","12865","12865","0.8","0.8","0.8","12895","12895","12895","0.8","0.8","0.8","12896","12896","12896","1","1","1","13183","13183","13183","0.8","0.8","0.8"
"370","12867","12867","12867","1","1","1","12897","12897","12897","1","1","1","12898","12898","12898","1","1","1","13185","13185","13185","1","1","1"
"371","12869","12869","12869","1","1","1","12899","12899","12899","1","1","1","12900","12900","12900","1","1","1","13187","13187","13187","0.8","0.8","0.8"
"372","12871","12871","12871","1","1","1","12901","12901","12901","1","1","1","12902","12902","12902","1","1","1","13189","13189","13189","0.8","0.8","0.8"
"373","12873","12873","12873","1","1","1","12903","12903","12903","1","1","1","12904","12904","12904","1","1","1","13191","13191","13191","1","1","1"
"374","12875","12875","12875","1","1","1","12905","12905","12905","1","1","1","12906","12906","12906","1","1","1","13193","13193","13193","1","1","1"
"375","12877","12877","12877","1","1","1","12907","12907","12907","1","1","1","12908","12908","12908","1","1","1","13195","13195","13195","1","1","1"
"376","12879","12879","12879","1","1","1","12909","12909","12909","1","1","1","12910","12910","12910","1","1","1","13197","13197","13197","1","1","1"
"377","12881","12881","12881","1","1","1","12911","12911","12911","1","1","1","12912","12912","12912","1","1","1","13199","13199","13199","1","1","1"
"378","13041","13041","13041","1","1","1","13067","13067","13067","1","1","1","13074","13074","13074","0.8","0.8","0.8","13359","13359","13359","1","1","1"
"379","13043","13043","13043","1","1","1","13069","13069","13069","1","1","1","13076","13076","13076","1","1","1","13361","13361","13361","1","1","1"
"380","13045","13045","13045","1","1","1","13071","13071","13071","1","1","1","13078","13078","13078","1","1","1","13363","13363","13363","0.8","0.8","0.8"
"381","13047","13047","13047","1","1","1","13073","13073","13073","1","1","1","13080","13080","13080","1","1","1","13365","13365","13365","1","1","1"
"382","13049","13049","13049","1","1","1","13075","13075","13075","0.8","0.8","0.8","13082","13082","13082","1","1","1","13367","13367","13367","0.8","0.8","0.8"
"383","13051","13051","13051","1","1","1","13077","13077","13077","1","1","1","13084","13084","13084","1","1","1","13369","13369","13369","1","1","1"
"384","13053","13053","13053","1","1","1","13079","13079","13079","1","1","1","13086","13086","13086","1","1","1","13371","13371","13371","1","1","1"
"385","13055","13055","13055","1","1","1","13081","13081","13081","1","1","1","13088","13088","13088","1","1","1","13373","13373","13373","1","1","1"
"386","13057","13057","13057","1","1","1","13083","13083","13083","1","1","1","13090","13090","13090","1","1","1","13375","13375","13375","1","1","1"
"387","13217","13217","13217","0.8","0.8","0.8","13244","13244","13244","1","1","1","13250","13250","13250","0.8","0.8","0.8","13536","13536","13536","0.8","0.8","0.8"
"388","13219","13219","13219","1","1","1","13246","13246","13246","1","1","1","13252","13252","13252","1","1","1","13538","13538","13538","1","1","1"
"389","13221","13221","13221","1","1","1","13248","13248","13248","1","1","1","13254","13254","13254","1","1","1","13540","13540","13540","1","1","1"
"390","13223","13223","13223","1","1","1","13250","13250","13250","1","1","1","13256","13256","13256","0.9","0.9","0.9","13542","13542","13542","1","1","1"
"391","13225","13225","13225","1","1","1","13252","13252","13252","1","1","1","13258","13258","13258","1","1","1","13544","13544","13544","1","1","1"
"392","13227","13227","13227","1","1","1","13254","13254","13254","1","1","1","13260","13260","13260","1","1","1","13546","13546","13546","1","1","1"
"393","13229","13229","13229","1","1","1","13256","13256","13256","1","1","1","13262","13262","13262","0.9","0.9","0.9","13548","13548","13548","1","1","1"
"394","13231","13231","13231","1","1","1","13258","13258","13258","1","1","1","13264","13264","13264","1","1","1","13550","13550","13550","1","1","1"
"395","13233","13233","13233","1","1","1","13260","13260","13260","1","1","1","13266","13266","13266","1","1","1","13552","13552","13552","1","1","1"
"396","13389","13389","13389","1","1","1","13419","13419","13419","1","1","1","13429","13429","13429","1","1","1","13708","13708","13708","0.8","0.8","0.8"
"397","13391","13391","13391","1","1","1","13421","13421","13421","1","1","1","13431","13431","13431","1","1","1","13710","13710","13710","1","1","1"
"398","13393","13393","13393","1","1","1","13423","13423","13423","1","1","1","13433","13433","13433","1","1","1","13712","13712","13712","1","1","1"
"399","13395","13395","13395","1","1","1","13425","13425","13425","1","1","1","13435","13435","13435","1","1","1","13714","13714","13714","1","1","1"
"400","13397","13397","13397","1","1","1","13427","13427","13427","1","1","1","13437","13437","13437","1","1","1","13716","13716","13716","1","1","1"
"401","13399","13399","13399","1","1","1","13429","13429","13429","1","1","1","13439","13439","13439","1","1","1","13718","13718","13718","1","1","1"
"402","13401","13401","13401","1","1","1","13431","13431","13431","1","1","1","13441","13441","13441","1","1","1","13720","13720","13720","1","1","1"
"403","13403","13403","13403","1","1","1","13433","13433","13433","1","1","1","13443","13443","13443","1","1","1","13722","13722","13722","1","1","1"
"404","13405","13405","13405","1","1","1","13435","13435","13435","1","1","1","13445","13445","13445","1","1","1","13724","13724","13724","1","1","1"
"405","13562","13562","13562","0.8","0.8","0.8","13593","13593","13593","1","1","1","13606","13606","13606","1","1","1","13887","13887","13887","0.8","0.8","0.8"
"406","13564","13564","13564","1","1","1","13595","13595","13595","1","1","1","13608","13608","13608","1","1","1","13889","13889","13889","1","1","1"
"407","13566","13566","13566","1","1","1","13597","13597","13597","1","1","1","13610","13610","13610","1","1","1","13891","13891","13891","0.8","0.8","0.8"
"408","13568","13568","13568","1","1","1","13599","13599","13599","1","1","1","13612","13612","13612","1","1","1","13893","13893","13893","1","1","1"
"409","13570","13570","13570","1","1","1","13601","13601","13601","1","1","1","13614","13614","13614","1","1","1","13895","13895","13895","1","1","1"
"410","13572","13572","13572","1","1","1","13603","13603","13603","1","1","1","13616","13616","13616","1","1","1","13897","13897","13897","1","1","1"
"411","13574","13574","13574","1","1","1","13605","13605","13605","1","1","1","13618","13618","13618","1","1","1","13899","13899","13899","1","1","1"
"412","13576","13576","13576","1","1","1","13607","13607","13607","1","1","1","13620","13620","13620","1","1","1","13901","13901","13901","1","1","1"
"413","13578","13578","13578","1","1","1","13609","13609","13609","1","1","1","13622","13622","13622","1","1","1","13903","13903","13903","1","1","1"
"414","13735","13735","13735","1","1","1","13766","13766","13766","1","1","1","13780","13780","13780","0.8","0.8","0.8","14063","14063","14063","1","1","1"
"415","13737","13737","13737","1","1","1","13768","13768","13768","1","1","1","13782","13782","13782","1","1","1","14065","14065","14065","1","1","1"
"416","13739","13739","13739","0.8","0.8","0.8","13770","13770","13770","1","1","1","13784","13784","13784","1","1","1","14067","14067","14067","1","1","1"
"417","13741","13741","13741","0.8","0.8","0.8","13772","13772","13772","1","1","1","13786","13786","13786","1","1","1","14069","14069","14069","1","1","1"
"418","13743","13743","13743","1","1","1","13774","13774","13774","1","1","1","13788","13788","13788","1","1","1","14071","14071","14071","1","1","1"
"419","13745","13745","13745","1","1","1","13776","13776","13776","1","1","1","13790","13790","13790","1","1","1","14073","14073","14073","1","1","1"
"420","13747","13747","13747","1","1","1","13778","13778","13778","1","1","1","13792","13792","13792","1","1","1","14075","14075","14075","1","1","1"
"421","13749","13749","13749","1","1","1","13780","13780","13780","1","1","1","13794","13794","13794","1","1","1","14077","14077","14077","1","1","1"
"422","13751","13751","13751","1","1","1","13782","13782","13782","1","1","1","13796","13796","13796","1","1","1","14079","14079","14079","1","1","1"
"423","13907","13907","13907","1","1","1","13940","13940","13940","0.8","0.8","0.8","13954","13954","13954","0.8","0.8","0.8","14241","14241","14241","0.8","0.8","0.8"
"424","13909","13909","13909","1","1","1","13942","13942","13942","1","1","1","13956","13956","13956","1","1","1","14243","14243","14243","1","1","1"
"425","13911","13911","13911","1","1","1","13944","13944","13944","1","1","1","13958","13958","13958","0.8","0.8","0.8","14245","14245","14245","1","1","1"
"426","13913","13913","13913","1","1","1","13946","13946","13946","1","1","1","13960","13960","13960","1","1","1","14247","14247","14247","1","1","1"
"427","13915","13915","13915","1","1","1","13948","13948","13948","1","1","1","13962","13962","13962","1","1","1","14249","14249","14249","1","1","1"
"428","13917","13917","13917","1","1","1","13950","13950","13950","1","1","1","13964","13964","13964","1","1","1","14251","14251","14251","1","1","1"
"429","13919","13919","13919","1","1","1","13952","13952","13952","1","1","1","13966","13966","13966","0.8","0.8","0.8","14253","14253","14253","1","1","1"
"430","13921","13921","13921","1","1","1","13954","13954","13954","1","1","1","13968","13968","13968","1","1","1","14255","14255","14255","1","1","1"
"431","13923","13923","13923","1","1","1","13956","13956","13956","1","1","1","13970","13970","13970","1","1","1","14257","14257","14257","1","1","1"
"432","14083","14083","14083","1","1","1","14112","14112","14112","1","1","1","14135","14135","14135","1","1","1","14421","14421","14421","1","1","1"
"433","14085","14085","14085","1","1","1","14114","14114","14114","1","1","1","14137","14137","14137","1","1","1","14423","14423","14423","1","1","1"
"434","14087","14087","14087","1","1","1","14116","14116","14116","1","1","1","14139","14139","14139","1","1","1","14425","14425","14425","0.8","0.8","0.8"
"435","14089","14089","14089","1","1","1","14118","14118","14118","1","1","1","14141","14141","14141","1","1","1","14427","14427","14427","1","1","1"
"436","14091","14091","14091","1","1","1","14120","14120","14120","1","1","1","14143","14143","14143","1","1","1","14429","14429","14429","1","1","1"
"437","14093","14093","14093","1","1","1","14122","14122","14122","1","1","1","14145","14145","14145","1","1","1","14431","14431","14431","1","1","1"
"438","14095","14095","14095","1","1","1","14124","14124","14124","1","1","1","14147","14147","14147","1","1","1","14433","14433","14433","1","1","1"
"439","14097","14097","14097","1","1","1","14126","14126","14126","1","1","1","14149","14149","14149","1","1","1","14435","14435","14435","1","1","1"
"440","14099","14099","14099","1","1","1","14128","14128","14128","1","1","1","14151","14151","14151","1","1","1","14437","14437","14437","1","1","1"
"441","14260","14260","14260","0.8","0.8","0.8","14288","14288","14288","0.8","0.8","0.8","14310","14310","14310","1","1","1","14602","14602","14602","0.8","0.8","0.8"
"442","14262","14262","14262","1","1","1","14290","14290","14290","1","1","1","14312","14312","14312","1","1","1","14604","14604","14604","1","1","1"
"443","14264","14264","14264","1","1","1","14292","14292","14292","1","1","1","14314","14314","14314","1","1","1","14606","14606","14606","0.8","0.8","0.8"
"444","14266","14266","14266","1","1","1","14294","14294","14294","1","1","1","14316","14316","14316","1","1","1","14608","14608","14608","1","1","1"
"445","14268","14268","14268","1","1","1","14296","14296","14296","1","1","1","14318","14318","14318","1","1","1","14610","14610","14610","1","1","1"
"446","14270","14270","14270","1","1","1","14298","14298","14298","1","1","1","14320","14320","14320","1","1","1","14612","14612","14612","1","1","1"
"447","14272","14272","14272","1","1","1","14300","14300","14300","1","1","1","14322","14322","14322","1","1","1","14614","14614","14614","1","1","1"
"448","14274","14274","14274","1","1","1","14302","14302","14302","1","1","1","14324","14324","14324","1","1","1","14616","14616","14616","1","1","1"
"449","14276","14276","14276","1","1","1","14304","14304","14304","1","1","1","14326","14326","14326","1","1","1","14618","14618","14618","1","1","1"
"450","14435","14435","14435","1","1","1","14462","14462","14462","1","1","1","14489","14489","14489","0.8","0.8","0.8","14780","14780","14780","1","1","1"
"451","14437","14437","14437","1","1","1","14464","14464","14464","1","1","1","14491","14491","14491","1","1","1","14782","14782","14782","1","1","1"
"452","14439","14439","14439","1","1","1","14466","14466","14466","1","1","1","14493","14493","14493","1","1","1","14784","14784","14784","1","1","1"
"453","14441","14441","14441","1","1","1","14468","14468","14468","1","1","1","14495","14495","14495","1","1","1","14786","14786","14786","1","1","1"
"454","14443","14443","14443","1","1","1","14470","14470","14470","1","1","1","14497","14497","14497","1","1","1","14788","14788","14788","1","1","1"
"455","14445","14445","14445","1","1","1","14472","14472","14472","1","1","1","14499","14499","14499","1","1","1","14790","14790","14790","1","1","1"
"456","14447","14447","14447","1","1","1","14474","14474","14474","1","1","1","14501","14501","14501","1","1","1","14792","14792","14792","1","1","1"
"457","14449","14449","14449","1","1","1","14476","14476","14476","1","1","1","14503","14503","14503","1","1","1","14794","14794","14794","1","1","1"
"458","14451","14451","14451","1","1","1","14478","14478","14478","1","1","1","14505","14505","14505","1","1","1","14796","14796","14796","1","1","1"
"459","14610","14610","14610","1","1","1","14636","14636","14636","1","1","1","14670","14670","14670","0.8","0.8","0.8","14961","14961","14961","0.8","0.8","0.8"
"460","14612","14612","14612","1","1","1","14638","14638","14638","1","1","1","14672","14672","14672","1","1","1","14963","14963","14963","1","1","1"
"461","14614","14614","14614","1","1","1","14640","14640","14640","1","1","1","14674","14674","14674","0.8","0.8","0.8","14965","14965","14965","0.8","0.8","0.8"
"462","14616","14616","14616","1","1","1","14642","14642","14642","0.8","0.8","0.8","14676","14676","14676","1","1","1","14967","14967","14967","1","1","1"
"463","14618","14618","14618","1","1","1","14644","14644","14644","1","1","1","14678","14678","14678","1","1","1","14969","14969","14969","1","1","1"
"464","14620","14620","14620","1","1","1","14646","14646","14646","1","1","1","14680","14680","14680","1","1","1","14971","14971","14971","1","1","1"
"465","14622","14622","14622","1","1","1","14648","14648","14648","1","1","1","14682","14682","14682","1","1","1","14973","14973","14973","1","1","1"
"466","14624","14624","14624","1","1","1","14650","14650","14650","1","1","1","14684","14684","14684","1","1","1","14975","14975","14975","1","1","1"
"467","14626","14626","14626","1","1","1","14652","14652","14652","1","1","1","14686","14686","14686","1","1","1","14977","14977","14977","1","1","1"
"468","14788","14788","14788","0.8","0.8","0.8","14808","14808","14808","0.8","0.8","0.8","14844","14844","14844","1","1","1","15138","15138","15138","0.8","0.8","0.8"
"469","14790","14790","14790","1","1","1","14810","14810","14810","1","1","1","14846","14846","14846","1","1","1","15140","15140","15140","1","1","1"
"470","14792","14792","14792","1","1","1","14812","14812","14812","1","1","1","14848","14848","14848","1","1","1","15142","15142","15142","1","1","1"
"471","14794","14794","14794","1","1","1","14814","14814","14814","1","1","1","14850","14850","14850","1","1","1","15144","15144","15144","1","1","1"
"472","14796","14796","14796","1","1","1","14816","14816","14816","1","1","1","14852","14852","14852","1","1","1","15146","15146","15146","1","1","1"
"473","14798","14798","14798","1","1","1","14818","14818","14818","1","1","1","14854","14854","14854","1","1","1","15148","15148","15148","1","1","1"
"474","14800","14800","14800","1","1","1","14820","14820","14820","1","1","1","14856","14856","14856","1","1","1","15150","15150","15150","1","1","1"
"475","14802","14802","14802","1","1","1","14822","14822","14822","1","1","1","14858","14858","14858","1","1","1","15152","15152","15152","1","1","1"
"476","14804","14804","14804","1","1","1","14824","14824","14824","1","1","1","14860","14860","14860","1","1","1","15154","15154","15154","1","1","1"
"477","14964","14964","14964","1","1","1","14985","14985","14985","1","1","1","15020","15020","15020","1","1","1","15316","15316","15316","1","1","1"
"478","14966","14966","14966","1","1","1","14987","14987","14987","1","1","1","15022","15022","15022","1","1","1","15318","15318","15318","1","1","1"
"479","14968","14968","14968","1","1","1","14989","14989","14989","1","1","1","15024","15024","15024","0.8","0.8","0.8","15320","15320","15320","0.8","0.8","0.8"
"480","14970","14970","14970","1","1","1","14991","14991","14991","1","1","1","15026","15026","15026","1","1","1","15322","15322","15322","1","1","1"
"481","14972","14972","14972","1","1","1","14993","14993","14993","1","1","1","15028","15028","15028","1","1","1","15324","15324","15324","1","1","1"
"482","14974","14974","14974","1","1","1","14995","14995","14995","1","1","1","15030","15030","15030","1","1","1","15326","15326","15326","1","1","1"
"483","14976","14976","14976","1","1","1","14997","14997","14997","1","1","1","15032","15032","15032","1","1","1","15328","15328","15328","1","1","1"
"484","14978","14978","14978","1","1","1","14999","14999","14999","1","1","1","15034","15034","15034","1","1","1","15330","15330","15330","0.8","0.8","0.8"
"485","14980","14980","14980","1","1","1","15001","15001","15001","1","1","1","15036","15036","15036","1","1","1","15332","15332","15332","1","1","1"
"486","15144","15144","15144","0.8","0.8","0.8","15160","15160","15160","1","1","1","15198","15198","15198","0.8","0.8","0.8","15497","15497","15497","0.8","0.8","0.8"
"487","15146","15146","15146","1","1","1","15162","15162","15162","1","1","1","15200","15200","15200","0.8","0.8","0.8","15499","15499","15499","1","1","1"
"488","15148","15148","15148","1","1","1","15164","15164","15164","1","1","1","15202","15202","15202","0.8","0.8","0.8","15501","15501","15501","1","1","1"
"489","15150","15150","15150","1","1","1","15166","15166","15166","1","1","1","15204","15204","15204","1","1","1","15503","15503","15503","0.8","0.8","0.8"
"490","15152","15152","15152","1","1","1","15168","15168","15168","1","1","1","15206","15206","15206","1","1","1","15505","15505","15505","1","1","1"
"491","15154","15154","15154","1","1","1","15170","15170","15170","1","1","1","15208","15208","15208","1","1","1","15507","15507","15507","1","1","1"
"492","15156","15156","15156","1","1","1","15172","15172","15172","1","1","1","15210","15210","15210","1","1","1","15509","15509","15509","1","1","1"
"493","15158","15158","15158","1","1","1","15174","15174","15174","1","1","1","15212","15212","15212","1","1","1","15511","15511","15511","1","1","1"
"494","15160","15160","15160","1","1","1","15176","15176","15176","1","1","1","15214","15214","15214","1","1","1","15513","15513","15513","1","1","1"
"495","15322","15322","15322","1","1","1","15335","15335","15335","0.8","0.8","0.8","15381","15381","15381","1","1","1","15671","15671","15671","0.8","0.8","0.8"
"496","15324","15324","15324","1","1","1","15337","15337","15337","1","1","1","15383","15383","15383","0.8","0.8","0.8","15673","15673","15673","1","1","1"
"497","15326","15326","15326","1","1","1","15339","15339","15339","1","1","1","15385","15385","15385","0.8","0.8","0.8","15675","15675","15675","1","1","1"
"498","15328","15328","15328","1","1","1","15341","15341","15341","1","1","1","15387","15387","15387","1","1","1","15677","15677","15677","1","1","1"
"499","15330","15330","15330","1","1","1","15343","15343","15343","1","1","1","15389","15389","15389","1","1","1","15679","15679","15679","1","1","1"
"500","15332","15332","15332","1","1","1","15345","15345","15345","1","1","1","15391","15391","15391","1","1","1","15681","15681","15681","1","1","1"
"501","15334","15334","15334","1","1","1","15347","15347","15347","1","1","1","15393","15393","15393","0.8","0.8","0.8","15683","15683","15683","1","1","1"
"502","15336","15336","15336","1","1","1","15349","15349","15349","1","1","1","15395","15395","15395","1","1","1","15685","15685","15685","1","1","1"
"503","15338","15338","15338","1","1","1","15351","15351","15351","1","1","1","15397","15397","15397","1","1","1","15687","15687","15687","1","1","1"
"504","15502","15502","15502","0.8","0.8","0.8","15512","15512","15512","0.8","0.8","0.8","15559","15559","15559","0.8","0.8","0.8","15850","15850","15850","1","1","1"
"505","15504","15504","15504","1","1","1","15514","15514","15514","1","1","1","15561","15561","15561","0.8","0.8","0.8","15852","15852","15852","1","1","1"
"506","15506","15506","15506","1","1","1","15516","15516","15516","1","1","1","15563","15563","15563","1","1","1","15854","15854","15854","1","1","1"
"507","15508","15508","15508","0.8","0.8","0.8","15518","15518","15518","1","1","1","15565","15565","15565","1","1","1","15856","15856","15856","1","1","1"
"508","15510","15510","15510","1","1","1","15520","15520","15520","1","1","1","15567","15567","15567","1","1","1","15858","15858","15858","1","1","1"
"509","15512","15512","15512","1","1","1","15522","15522","15522","1","1","1","15569","15569","15569","1","1","1","15860","15860","15860","1","1","1"
"510","15514","15514","15514","1","1","1","15524","15524","15524","1","1","1","15571","15571","15571","1","1","1","15862","15862","15862","1","1","1"
"511","15516","15516","15516","1","1","1","15526","15526","15526","1","1","1","15573","15573","15573","1","1","1","15864","15864","15864","1","1","1"
"512","15518","15518","15518","1","1","1","15528","15528","15528","1","1","1","15575","15575","15575","1","1","1","15866","15866","15866","1","1","1"
